model,n,r2_or_pseudo_r2,aic,income_beta,income_p,density_beta,density_p,spatial_parameter,filtered_or_residual_moran_i,moran_p
OLS,175,0.05620251837062207,,4.169864061689427,3.164568528565747e-05,-0.4276989818044339,0.7112244176940086,,0.7056119200961837,9.560900502811309e-40
SAR Queen,175,0.3401574235600179,1455.5213117997962,2.2892191944980844,0.04682082137420947,-2.1236584728669388,0.06478510478012559,0.4335718489033097,0.3457296375274364,0.001
SEM Queen,175,0.0021176762041845007,1322.4512351189717,-0.5413613281496603,0.4934448247494294,-3.7412195689502274,7.206589088170049e-06,0.8575338624017548,-0.058652709587194554,0.163
SEM KNN5,175,0.004456775115821535,1302.232397888677,-0.23277099895393638,0.7655930520630025,-4.205559037703605,8.776036589683094e-08,0.8639292588077148,0.017243741716435106,0.312
GWR,175,0.7943823013636329,1302.6351187573882,1.1342593165786017,,-5.645363490761022,,47.0,0.22102608076147906,0.001
