"id","lon","lat"
"111",114.123883156276,22.2794142894765
"112",114.139176853324,22.2874332979427
"113",114.147787148396,22.2861416594107
"114",114.152702909309,22.2847085178581
"115",114.145940527009,22.2890940728365
"116",114.133360310746,22.2857428992026
"121S",114.161245028846,22.2817070011787
"122",114.153901285683,22.281612102494
"131",114.171515968747,22.2765733694504
"132",114.178410854651,22.2769221331515
"133",114.17891339103,22.2796190889951
"134S",114.174850448497,22.2815657509876
"140",114.173640759363,22.271384631761
"141",114.136973948225,22.2796753214113
"142",114.15114188346,22.2791555374114
"143",114.160056458001,22.2743355981489
"144",114.184584946726,22.2704914488167
"145",114.190922972405,22.2751550300822
"146S",114.186816227862,22.281058884833
"148",114.196575776606,22.2768944641181
"149",114.195267398609,22.2707610620182
"151",114.192416649805,22.2870915320456
"152",114.198486225984,22.2844731241969
"153",114.2001082891,22.2906624590611
"154",114.207347337395,22.2886782702549
"155",114.211152709881,22.2872252441683
"156S",114.212438978916,22.2697971710629
"157",114.218804775421,22.286934216918
"161",114.230180667405,22.2799620447255
"162",114.23757761802,22.27393225653
"163",114.240468518226,22.2675958198379
"164S",114.233620386973,22.2632664716189
"166",114.222139344457,22.2777511462385
"167",114.249568019449,22.2581279595722
"171",114.130915342874,22.2658290960441
"172",114.140054322076,22.2566764478188
"173",114.154722021842,22.2518886493947
"174",114.154711422157,22.2402187870491
"175S",114.170246756143,22.2456686472402
"181S",114.150856544569,22.2672601397718
"183S",114.176680856786,22.2619444557704
"190S",114.206393085753,22.2452618908902
"191",114.185734310895,22.2476535351284
"193S",114.216580722434,22.2103458326653
"196",114.239502961351,22.2320021347761
"197",114.247245222167,22.2332906577336
"211",114.169539827796,22.2996672661784
"212",114.174524377325,22.3028057171379
"213S",114.180189827663,22.3007171095162
"214",114.173935482975,22.296702540858
"217",114.184514979707,22.3013691581014
"220S",114.174872223741,22.3103545857896
"221",114.164313457129,22.322391689552
"222",114.170991211405,22.3235291560336
"225",114.169132402039,22.3088273322026
"227",114.171782795569,22.3177091806686
"228",114.168700527315,22.3138803973036
"229",114.168103323904,22.3170402920214
"231",114.178690350013,22.3263807863689
"232",114.175607609535,22.322910134849
"233",114.181443452615,22.3246412830966
"234",114.180661809779,22.3204962723756
"235",114.175852222888,22.3171339350946
"236",114.180235511347,22.3124235216041
"237",114.183157651063,22.3160170782153
"241",114.187404382997,22.3185742441843
"242",114.190890170835,22.3190703775437
"243",114.186472673494,22.3090662513405
"244",114.19018487593,22.3108350200547
"245",114.189407816394,22.304928290024
"246",114.187099514432,22.3243808467592
"247",114.193336354043,22.3181276143584
"251S",114.161176037372,22.3028983247337
"252",114.163767041862,22.3095214226775
"253",114.163149297487,22.3152646493592
"254",114.157017057193,22.3206299669528
"255",114.151381227322,22.3300385580539
"260",114.139585004306,22.336582150316
"261",114.151123744312,22.3419502025781
"262",114.159749183069,22.3410304871968
"263",114.166308725222,22.34026870006
"264",114.154380603738,22.3358767348364
"265",114.158015838104,22.3318483157708
"266",114.160879511723,22.3289018654136
"267",114.165162716124,22.328350917857
"268",114.171992517796,22.3343387866489
"269",114.141058836356,22.3229883471022
"271",114.178637102477,22.3374724585597
"272",114.182624788439,22.3370286279149
"280",114.20953697054,22.3243580127677
"281",114.199393067552,22.3461701978265
"282",114.186026458825,22.3440042374272
"283",114.192137205184,22.3363962251725
"284",114.197783325531,22.3360709547386
"285",114.189473228515,22.3300491055114
"286",114.203735988365,22.3211078941256
"287",114.206156064005,22.3353869411362
"288S",114.21496593675,22.3449148561247
"290",114.230996785551,22.3037299945153
"291",114.215665383604,22.3285673601191
"292",114.225610098395,22.3280859830456
"293S",114.235357798628,22.3221664187333
"294",114.225455211049,22.3167987297716
"295",114.221746379273,22.311525119668
"297",114.238427283545,22.3088731538252
"298",114.239514742952,22.2948116454997
"310S",114.131280223996,22.3973185578701
"320S",114.12281411957,22.3488725529705
"322",114.114192703911,22.381095726469
"323",114.103561985004,22.376282865987
"325",114.130223997896,22.3749689319611
"326",114.126321700188,22.3629219924672
"327",114.139993940323,22.3613277286353
"328",114.132297574353,22.3501069798303
"331S",114.074017606207,22.3816579183323
"335",114.06292915763,22.3698454643885
"350",114.104347705864,22.3402869388419
"351",114.091910603333,22.352755712166
"411S",114.021047012392,22.388407440712
"421S",113.943708216309,22.3747736676938
"423S",113.965498883355,22.402041947911
"424",113.974556398141,22.388212494773
"425",113.982562098875,22.3986722013916
"426",113.997352268387,22.3705413951425
"431S",113.937306185895,22.4061544065309
"441",113.994057425594,22.4191282664562
"442",113.977403782368,22.4231675449405
"510",114.002723020868,22.4620175135088
"511",113.988224263584,22.453163672757
"512",113.988636980177,22.435850549427
"513",113.966445089438,22.4422037471051
"514",113.998275363308,22.4766846541525
"515",113.999799591425,22.4407905551657
"516",114.020108383035,22.4707270832577
"517",114.013662221195,22.4519209457478
"518",114.018631288178,22.4326417402131
"519",114.007232342979,22.4303537077629
"521",114.065666270344,22.4438163070924
"522",114.035229235305,22.4168568351222
"523",114.039824791271,22.4351474417947
"524",114.033312602082,22.4465206926769
"525",114.043144424279,22.4519789009026
"526",114.060474908067,22.4473257908169
"527",114.021571257455,22.4428441246415
"528",114.026640340793,22.4596243407065
"529",114.031269952568,22.4375563471176
"531",114.076579113197,22.41611214903
"532",114.092339958441,22.4509502106211
"533",114.105007310032,22.4224340991147
"541",114.042461711552,22.4700892339104
"542",114.059487360616,22.4996467323703
"543S",114.079145144928,22.489574777044
"544",114.068796957898,22.4714355470367
"545",114.098137910864,22.5078933488217
"547",114.102081584245,22.4835277950175
"548S",114.101601642827,22.5123228505085
"610S",114.116250101249,22.4737780264878
"620S",114.120888822477,22.5273876519309
"623",114.11271367799,22.5089425129323
"624S",114.128680832092,22.5111994205332
"625",114.141633276116,22.4980902290049
"626",114.121293904847,22.5044919026358
"627",114.12611479907,22.496260625459
"628",114.139703183279,22.487419203607
"631S",114.163255005721,22.4786762450217
"634",114.166857981724,22.5037948532262
"642",114.163567062504,22.542795528706
"651S",114.236266647213,22.5236674979737
"711S",114.248463956789,22.4840236816714
"720",114.150906402002,22.4478776435033
"722S",114.180223148048,22.4637720757166
"723",114.166089863833,22.445835672764
"724",114.143477777939,22.4352168502326
"725",114.162978439673,22.4304964647116
"726",114.168967599217,22.4528778019438
"729",114.192567055814,22.4330521034942
"731S",114.16423817519,22.383811138865
"732S",114.192413912035,22.4070407700286
"741S",114.317080227072,22.4392692963115
"755",114.196163354627,22.3777000230396
"756S",114.207441559813,22.3769073349305
"757",114.237716463828,22.4169953575417
"758",114.189999019119,22.3865122041731
"759",114.17795029431,22.3659256876509
"811S",114.344025589479,22.3860570115271
