"stpug_id","stpug_name_en","is_composite","group_size","stpug_name_zh","population","median_hh_income","median_emp_income","area_km2","pop_density_km2"
"241","241",FALSE,1,"241",43322,27220,19000,0.354352894227218,122256.656304382
"242","242",FALSE,1,"242",48753,23140,18300,0.391152912058865,124639.235697837
"243","243",FALSE,1,"243",33985,21640,18000,0.343813990619052,98847.0537188103
"244","244",FALSE,1,"244",23324,39070,26250,0.355715703402467,65569.2165875808
"245","245",FALSE,1,"245",45645,40040,26000,0.349111886011114,130746.049702091
"246","246",FALSE,1,"246",16785,25060,20000,0.31352481503887,53536.4321893277
"247","247",FALSE,1,"247",6405,36120,23000,0.133368077032129,48024.9857577012
"251S","251 and 256",TRUE,2,"251 及 256",18343,86170,47700,0.878089576784848,20889.6683037321
"252","252",FALSE,1,"252",1200,52040,36000,0.435377581267277,2756.22827548239
"253","253",FALSE,1,"253",32342,38040,22010,0.513740441570189,62953.9693257365
"254","254",FALSE,1,"254",21191,81040,50000,0.430014083022245,49279.7813761457
"255","255",FALSE,1,"255",69907,32100,20000,0.811913642089378,86101.5216102311
"260","260",FALSE,1,"260",44201,48700,30000,0.906964564575605,48735.0903512784
"261","261",FALSE,1,"261",11052,22750,19000,0.95443683240485,11579.603410896
"262","262",FALSE,1,"262",34664,18880,14310,0.525258844751941,65994.1290781509
"263","263",FALSE,1,"263",54891,17290,15000,1.29081541884063,42524.2828671053
"264","264",FALSE,1,"264",71231,20040,17000,0.79586736136131,89501.0946021976
"265","265",FALSE,1,"265",20237,17510,16000,0.315722556997428,64097.4157578639
"266","266",FALSE,1,"266",49936,17540,15000,0.420875240831666,118647.986755706
"267","267",FALSE,1,"267",37181,18320,15000,0.26947621162837,137975.073106919
"268","268",FALSE,1,"268",25222,25140,21250,1.33396274864823,18907.5744622995
"269","269",FALSE,1,"269",10779,25190,18000,1.69824564709286,6347.13830619969
"271","271",FALSE,1,"271",16911,88100,44560,1.56608176871492,10798.2867419986
"272","272",FALSE,1,"272",10015,76720,40000,0.813493102133981,12311.1062327736
"280","280",FALSE,1,"280",38848,29040,21000,1.3829237907782,28091.2081049234
"281","281",FALSE,1,"281",190329,24040,16700,2.86493199655838,66434.0376067008
"282","282",FALSE,1,"282",53722,25040,17500,1.07491458275167,49977.9246295806
"283","283",FALSE,1,"283",61646,19540,16000,0.767096987506238,80362.7194527324
"284","284",FALSE,1,"284",18789,23510,20000,0.382703627388269,49095.4322231646
"285","285",FALSE,1,"285",15619,22040,20000,0.327880038181122,47636.3248175907
"286","286",FALSE,1,"286",42575,19540,16070,3.10660754340513,13704.6599562859
"287","287",FALSE,1,"287",17972,16800,15000,0.132348689616519,135792.806502837
"288S","288 - 289",TRUE,2,"288 - 289",64344,29130,18000,4.10046160163799,15691.8918529311
"290","290",FALSE,1,"290",52702,30440,20000,1.08428595939683,48605.2591046346
"291","291",FALSE,1,"291",87920,20130,16000,1.06170930475607,82809.8610477937
"292","292",FALSE,1,"292",73666,20390,15000,1.33036630464482,55372.7193351212
"293S","293 and 296",TRUE,2,"293 及 296",104855,20470,15000,1.83469692984641,57151.128502067
"294","294",FALSE,1,"294",158821,19330,15800,1.78470479184563,88990.0675594408
"295","295",FALSE,1,"295",1900,15000,11750,0.710883322288901,2672.73115070752
"297","297",FALSE,1,"297",98452,23880,18000,1.23392216043775,79787.853040157
"298","298",FALSE,1,"298",55979,30840,19500,1.21685102311073,46003.1663176785
"310S","310 and 321",TRUE,2,"310 及 321",7991,29480,18810,17.5980189440146,454.085202739136
"320S","320, 324 and 329",TRUE,3,"320, 324 及 329",124311,29990,20000,6.1403876138213,20244.8131645941
"322","322",FALSE,1,"322",3399,45140,23750,0.523196909772504,6496.59800452176
"323","323",FALSE,1,"323",78334,40190,24000,2.2753276028862,34427.5698587909
"325","325",FALSE,1,"325",55537,20140,15000,1.31365251068813,42276.7813772213
"326","326",FALSE,1,"326",156842,21270,15500,2.01700303243902,77759.9227554667
"327","327",FALSE,1,"327",106812,21850,15570,3.99167982800234,26758.6591616629
"328","328",FALSE,1,"328",54288,25610,18000,2.10648624390079,25771.8274482864
"331S","331 - 334, 336 and 340",TRUE,6,"331 - 334, 336 及 340",11364,35900,22500,18.1286629713853,626.852626580193
"335","335",FALSE,1,"335",24813,52100,30000,2.45672336388783,10100.0382724137
"350","350",FALSE,1,"350",106080,29410,19040,6.35007135918841,16705.3240821467
"351","351",FALSE,1,"351",73501,25340,17000,4.3461513577236,16911.7441962486
"411S","411 - 416 and 427",TRUE,7,"411 - 416 及 427",6458,38500,25000,31.2362068287051,206.747254409434
"421S","421 - 422",TRUE,2,"421 - 422",84311,25190,18000,8.59293430334598,9811.66584354896
"423S","423 and 428",TRUE,2,"423 及 428",180876,20190,16500,7.04774274071656,25664.3874009524
"424","424",FALSE,1,"424",103699,25060,18000,1.75629857158325,59044.0610029753
"425","425",FALSE,1,"425",72801,31410,20000,3.50195756387949,20788.6585351282
"426","426",FALSE,1,"426",23741,40400,27810,2.43849332066377,9735.92988704091
"431S","431 - 434",TRUE,4,"431 - 434",2426,32660,22000,25.3949593521705,95.5307691718221
"441","441",FALSE,1,"441",21256,32890,20000,2.99065532728541,7107.47233426391
"442","442",FALSE,1,"442",8349,33500,20000,1.75256978515662,4763.86165658668
"510","510",FALSE,1,"510",277731,25250,16500,4.04602679319224,68642.8968951229
"511","511",FALSE,1,"511",8904,31040,20000,3.26593375069347,2726.32596975042
"512","512",FALSE,1,"512",12509,29790,18000,2.65921124919815,4704.02643030782
"513","513",FALSE,1,"513",2281,22000,15000,8.30791921614668,274.557315815832
"514","514",FALSE,1,"514",5055,21390,19000,4.1437547874272,1219.90809285763
"515","515",FALSE,1,"515",23150,21590,17100,1.14448188713028,20227.4935587205
"516","516",FALSE,1,"516",3604,20040,19000,2.93236257622886,1229.043103065
"517","517",FALSE,1,"517",8619,26080,20000,3.15034350615726,2735.89212832011
"518","518",FALSE,1,"518",3205,28350,20000,0.747566807512973,4287.24224750225
"519","519",FALSE,1,"519",15420,40070,22000,4.09591450616481,3764.72701683377
"521","521",FALSE,1,"521",11614,29040,20000,1.86047791738678,6242.48204800677
"522","522",FALSE,1,"522",24644,29750,20000,12.9468868295306,1903.46917560052
"523","523",FALSE,1,"523",14074,21940,17000,2.48444062125523,5664.85666012389
"524","524",FALSE,1,"524",75487,30080,20000,1.96669222483001,38382.7215295594
"525","525",FALSE,1,"525",1678,26500,16500,1.90716316080416,879.840820379766
"526","526",FALSE,1,"526",10643,40070,30000,7.22652607099254,1472.76850528794
"527","527",FALSE,1,"527",66490,27240,18500,1.49733243746457,44405.6365416003
"528","528",FALSE,1,"528",5568,27620,20000,1.28692182496705,4326.60313313324
"529","529",FALSE,1,"529",22376,40140,24070,0.831065388164476,26924.4758820007
"531","531",FALSE,1,"531",19402,32600,20000,14.7416018387572,1316.1391965553
"532","532",FALSE,1,"532",13029,27170,20000,11.1347619820085,1170.11930933524
"533","533",FALSE,1,"533",6996,30000,20000,9.71777560470752,719.917837638788
"541","541",FALSE,1,"541",19141,53970,28750,7.16228508446553,2672.47111421401
"542","542",FALSE,1,"542",12487,20250,20000,14.7202804153777,848.285470632427
"543S","543 and 546",TRUE,2,"543 及 546",3337,45000,30000,7.5123009003135,444.204784164162
"544","544",FALSE,1,"544",3477,22040,21250,4.60316676504597,755.349562045528
"545","545",FALSE,1,"545",1218,15870,20000,0.788492103483373,1544.72060610266
"547","547",FALSE,1,"547",14297,23760,18000,7.63071705037534,1873.61160237186
"548S","548 - 549",TRUE,2,"548 - 549",1106,11240,13000,2.43083541035174,454.987612608442
"610S","610, 621 and 632",TRUE,3,"610, 621 及 632",2937,31940,23000,11.4502310368015,256.501374562694
"620S","620, 622 and 641",TRUE,3,"620, 622 及 641",5321,17000,14500,16.7962687664751,316.796550113593
"623","623",FALSE,1,"623",4421,22550,17000,1.25361561899771,3526.59932837681
"624S","624 and 629",TRUE,2,"624 及 629",53612,23100,17000,4.18910022793822,12797.9750024713
"625","625",FALSE,1,"625",55738,25040,18000,2.38708810904789,23349.7874622783
"626","626",FALSE,1,"626",25651,19200,15500,0.908839638865845,28223.9010085545
"627","627",FALSE,1,"627",32985,20050,15000,0.494237048663788,66739.2298678899
"628","628",FALSE,1,"628",81560,28290,18000,1.64000344656195,49731.6028030185
"631S","631 and 633",TRUE,2,"631 及 633",12811,31250,20930,15.4241251830843,830.581951840608
"634","634",FALSE,1,"634",18505,21610,18000,14.5826468520145,1268.97402013433
"642","642",FALSE,1,"642",3431,21380,16000,8.92500193954771,384.425686766167
"651S","651 - 653",TRUE,3,"651 - 653",8698,21390,15100,57.5070959664382,151.250899629435
"711S","711 - 712, 721 and 728",TRUE,4,"711 - 712, 721 及 728",18318,31480,20000,44.3142403554616,413.365993709117
"720","720",FALSE,1,"720",4504,55220,32000,1.80814124308915,2490.95584607376
"722S","722 and 727",TRUE,2,"722 及 727",49877,35040,20000,10.514120310677,4743.81103945999
"723","723",FALSE,1,"723",73312,22950,18000,2.09407049258758,35009.3276513393
"724","724",FALSE,1,"724",13143,25850,20000,21.145626659025,621.546961550583
"725","725",FALSE,1,"725",9473,50260,24000,5.67896701793783,1668.08505315811
"726","726",FALSE,1,"726",93287,25750,18000,1.11881831835745,83379.9361963934
"729","729",FALSE,1,"729",27614,57670,34000,4.68810819042433,5890.22242626628
"731S","731, 733 and 754",TRUE,3,"731, 733 及 754",62592,22170,18000,12.7910874695849,4893.40723756551
"732S","732, 751 and 753",TRUE,3,"732, 751 及 753",59769,39270,25000,14.0664349626921,4249.05103237056
"741S","741 - 744",TRUE,4,"741 - 744",8892,45140,24500,51.983837335999,171.053166824263
"755","755",FALSE,1,"755",87222,20110,16150,1.59755142904804,54597.3033569095
"756S","756 and 761 - 762",TRUE,3,"756 及 761 - 762",106465,34040,21250,32.3069538796955,3295.42055857243
"757","757",FALSE,1,"757",210356,35400,20330,8.10834223872606,25943.1575292079
"758","758",FALSE,1,"758",47474,23800,17900,2.23376419550862,21252.9147416074
"759","759",FALSE,1,"759",124439,26650,18500,3.51607541108072,35391.4479785721
"811S","811 - 815",TRUE,5,"811 - 815",2725,63820,30000,71.3090167258195,38.2139612228496
"820","820",FALSE,1,"820",7066,31290,25000,2.96287605224235,2384.84495315028
"821","821",FALSE,1,"821",1432,50480,35500,1.84905008493431,774.451709917241
"822","822",FALSE,1,"822",7203,42040,28750,4.57517863329206,1574.36475760447
"823","823",FALSE,1,"823",3994,60000,30000,1.81348432478927,2202.39014222751
"824S","824 and 829",TRUE,2,"824 及 829",3674,37180,20000,11.4414179749982,321.114044432991
"825","825",FALSE,1,"825",3779,31200,19000,0.951949401360504,3969.74880660584
"826S","826 and 828",TRUE,2,"826 及 828",8300,30250,19000,0.545335323509464,15219.9933548885
"827","827",FALSE,1,"827",3873,32890,20000,0.510070145816155,7593.0732895627
"831","831",FALSE,1,"831",24466,46830,26560,9.79579664359861,2497.60186844917
"832S","832 and 834",TRUE,2,"832 及 834",4832,47850,30000,12.8528666506538,375.947259964315
"833","833",FALSE,1,"833",63790,34700,20000,1.97858599899852,32240.1957924941
"835","835",FALSE,1,"835",22205,26070,16500,2.55310227434181,8697.26223784924
"836","836",FALSE,1,"836",84616,32780,20000,3.056790732978,27681.3191976557
"837","837",FALSE,1,"837",76941,34620,20000,1.27705308332334,60248.8659279318
"838","838",FALSE,1,"838",122150,40170,22000,1.43277110393698,85254.3715212817
"839","839",FALSE,1,"839",47991,59070,32000,6.97643711581472,6879.01276873984
"911S","911 - 913",TRUE,3,"911 - 913",6724,38100,30000,19.7253701510774,340.880802159889
"920","920",FALSE,1,"920",19769,22490,15500,2.43871882392848,8106.30557570985
"931S","931 and 933",TRUE,2,"931 及 933",4245,26200,20000,23.6331456545923,179.620608362608
"932S","932, 934 and 941 - 943",TRUE,5,"932, 934 及 941 - 943",2154,36230,20000,59.1831965557283,36.3954656956006
"944","944",FALSE,1,"944",3678,18430,17000,2.3011491274064,1598.33187523376
"950S","950 - 951",TRUE,2,"950 - 951",116029,28580,18000,38.2260112387836,3035.34154466733
"961S","961 - 963",TRUE,3,"961 - 963",7589,23390,19500,21.8031891255491,348.068347079885
"971S","971 - 974",TRUE,4,"971 - 974",19352,74960,50000,25.3512027741793,763.356286184195
"975","975",FALSE,1,"975",14409,52820,33000,1.03066336488181,13980.316455366
"976","976",FALSE,1,"976",5742,22130,17000,0.994926268735,5771.28193358556
