from_id,to_id,travel_time_p25,travel_time_p50,travel_time_p75
111,LW,85,86,87
111,LMC,90,91,92
111,HG,101,105,110
111,SB,106,111,115
111,MKT,96,97,98
111,HYW,105,106,107
112,LW,75,76,77
112,LMC,80,81,82
112,HG,86,90,94
112,SB,94,97,100
112,MKT,89,90,91
112,HYW,97,99,100
113,LW,71,72,73
113,LMC,76,77,78
113,HG,86,90,94
113,SB,91,95,98
113,MKT,81,83,84
113,HYW,90,92,93
114,LW,70,71,72
114,LMC,75,76,77
114,HG,78,82,87
114,SB,88,91,93
114,MKT,80,81,83
114,HYW,89,90,92
115,LW,69,70,71
115,LMC,74,75,76
115,HG,82,87,94
115,SB,94,99,102
115,MKT,80,81,82
115,HYW,89,90,91
116,LW,75,76,78
116,LMC,80,81,83
116,HG,90,94,98
116,SB,99,102,105
116,MKT,85,87,89
116,HYW,94,96,98
121,LW,70,71,72
121,LMC,75,76,77
121,HG,79,81,83
121,SB,77,80,82
121,MKT,80,82,83
121,HYW,86,89,91
122,LW,69,70,71
122,LMC,74,75,76
122,HG,80,84,88
122,SB,89,91,94
122,MKT,79,81,82
122,HYW,89,90,92
123,LW,62,63,64
123,LMC,67,68,69
123,HG,76,80,83
123,SB,83,85,88
123,MKT,73,74,75
123,HYW,82,83,84
124,LW,59,60,62
124,LMC,64,65,67
124,HG,76,79,82
124,SB,83,85,86
124,MKT,70,72,73
124,HYW,79,81,82
131,LW,65,66,67
131,LMC,70,71,72
131,HG,78,82,87
131,SB,89,91,94
131,MKT,76,77,79
131,HYW,85,86,88
132,LW,65,66,68
132,LMC,70,71,73
132,HG,84,88,93
132,SB,93,94,96
132,MKT,76,77,79
132,HYW,85,86,88
133,LW,66,67,68
133,LMC,71,72,73
133,HG,84,88,91
133,SB,90,92,94
133,MKT,77,78,79
133,HYW,86,87,88
134,LW,58,59,60
134,LMC,63,64,65
134,HG,81,83,85
134,SB,82,84,86
134,MKT,69,70,71
134,HYW,78,79,80
135,LW,62,63,64
135,LMC,67,68,69
135,HG,82,86,88
135,SB,86,88,90
135,MKT,73,74,76
135,HYW,82,83,85
140,LW,79,81,82
140,LMC,84,86,87
140,HG,95,100,106
140,SB,109,113,118
140,MKT,90,92,94
140,HYW,99,101,103
141,LW,86,88,89
141,LMC,91,93,94
141,HG,103,107,113
141,SB,112,118,
141,MKT,105,106,108
141,HYW,114,115,117
142,LW,70,71,73
142,LMC,75,76,78
142,HG,89,92,97
142,SB,99,102,105
142,MKT,81,82,84
142,HYW,90,91,93
143,LW,73,75,76
143,LMC,78,80,81
143,HG,91,95,100
143,SB,103,108,112
143,MKT,83,86,88
143,HYW,93,95,97
144,LW,72,76,78
144,LMC,77,81,83
144,HG,92,96,102
144,SB,107,110,112
144,MKT,83,87,90
144,HYW,92,96,99
145,LW,81,82,83
145,LMC,86,87,88
145,HG,98,103,109
145,SB,111,114,117
145,MKT,91,93,94
145,HYW,100,102,103
146,LW,68,69,70
146,LMC,73,74,75
146,HG,85,88,93
146,SB,98,101,103
146,MKT,79,80,81
146,HYW,88,89,91
147,LW,71,73,74
147,LMC,76,78,79
147,HG,91,95,99
147,SB,102,105,109
147,MKT,82,83,85
147,HYW,91,92,94
148,LW,75,78,80
148,LMC,80,83,85
148,HG,95,99,103
148,SB,109,113,116
148,MKT,87,89,91
148,HYW,96,98,100
149,LW,78,79,81
149,LMC,83,84,86
149,HG,99,105,112
149,SB,112,118,
149,MKT,92,94,98
149,HYW,101,103,107
151,LW,71,73,74
151,LMC,76,78,79
151,HG,92,94,100
151,SB,104,106,109
151,MKT,82,84,86
151,HYW,91,93,95
152,LW,79,82,83
152,LMC,84,87,88
152,HG,98,104,109
152,SB,114,117,
152,MKT,91,94,97
152,HYW,100,103,106
153,LW,74,76,77
153,LMC,79,81,82
153,HG,90,94,99
153,SB,99,103,107
153,MKT,85,86,89
153,HYW,94,96,98
154,LW,84,86,87
154,LMC,89,91,92
154,HG,101,105,109
154,SB,110,113,117
154,MKT,93,96,98
154,HYW,103,106,107
155,LW,74,75,76
155,LMC,79,80,81
155,HG,97,100,105
155,SB,107,110,115
155,MKT,86,88,89
155,HYW,96,97,98
156,LW,92,94,96
156,LMC,97,99,103
156,HG,114,119,
156,MKT,104,108,113
156,HYW,113,118,
157,LW,73,76,78
157,LMC,78,81,83
157,HG,92,96,101
157,SB,107,111,115
157,MKT,84,86,89
157,HYW,94,95,98
161,LW,78,81,83
161,LMC,83,86,88
161,HG,100,104,108
161,SB,112,116,119
161,MKT,88,91,94
161,HYW,97,100,103
162,LW,96,101,103
162,LMC,101,106,111
162,MKT,112,116,119
163,LW,92,93,94
163,LMC,97,98,100
163,HG,113,118,
163,MKT,102,103,105
