from_id,to_id,travel_time_p25,travel_time_p50,travel_time_p75
111,LW,85,86,87
111,LMC,90,91,92
111,HG,101,104,110
111,SB,108,111,115
111,MKT,95,97,98
111,HYW,104,106,107
112,LW,75,76,78
112,LMC,80,81,83
112,HG,86,89,93
112,SB,94,98,100
112,MKT,88,90,91
112,HYW,97,99,100
113,LW,71,72,73
113,LMC,76,77,78
113,HG,85,90,95
113,SB,90,94,98
113,MKT,81,83,84
113,HYW,90,92,93
114,LW,69,70,71
114,LMC,74,75,76
114,HG,79,83,87
114,SB,88,91,94
114,MKT,79,81,82
114,HYW,89,90,91
115,LW,69,70,71
115,LMC,74,75,76
115,HG,84,88,94
115,SB,94,99,102
115,MKT,80,81,83
115,HYW,89,90,92
116,LW,75,77,78
116,LMC,80,82,83
116,HG,90,94,98
116,SB,100,103,105
116,MKT,86,87,88
116,HYW,95,96,97
121S,LW,65,66,67
121S,LMC,70,71,72
121S,HG,78,81,85
121S,SB,86,88,90
121S,MKT,75,77,78
121S,HYW,84,86,87
122,LW,69,70,71
122,LMC,74,75,76
122,HG,81,84,88
122,SB,90,92,94
122,MKT,80,81,83
122,HYW,89,91,92
131,LW,66,67,68
131,LMC,71,72,73
131,HG,79,83,88
131,SB,89,91,93
131,MKT,76,77,79
131,HYW,85,87,88
132,LW,65,67,68
132,LMC,70,72,73
132,HG,82,88,91
132,SB,92,93,95
132,MKT,76,77,79
132,HYW,85,87,88
133,LW,66,67,68
133,LMC,71,72,73
133,HG,84,88,91
133,SB,90,92,94
133,MKT,77,78,79
133,HYW,86,87,88
134S,LW,54,55,56
134S,LMC,59,60,61
134S,HG,76,78,81
134S,SB,78,80,82
134S,MKT,65,66,68
134S,HYW,74,76,77
140,LW,79,81,83
140,LMC,84,86,88
140,HG,95,100,106
140,SB,109,113,116
140,MKT,90,92,94
140,HYW,99,101,103
141,LW,86,87,89
141,LMC,91,92,94
141,HG,103,107,114
141,SB,113,117,
141,MKT,104,106,108
141,HYW,113,115,117
142,LW,70,72,73
142,LMC,75,77,78
142,HG,88,92,95
142,SB,100,103,104
142,MKT,81,82,84
142,HYW,90,91,93
143,LW,73,75,76
143,LMC,78,80,81
143,HG,92,97,101
143,SB,101,107,111
143,MKT,84,86,87
143,HYW,93,95,96
144,LW,72,76,78
144,LMC,77,81,83
144,HG,91,97,102
144,SB,107,110,113
144,MKT,83,86,90
144,HYW,92,96,99
145,LW,81,82,83
145,LMC,86,87,88
145,HG,96,101,107
145,SB,111,113,117
145,MKT,91,92,95
145,HYW,100,102,104
146S,LW,70,71,72
146S,LMC,75,76,77
146S,HG,88,92,98
146S,SB,101,104,106
146S,MKT,80,81,83
146S,HYW,89,90,92
148,LW,76,78,79
148,LMC,81,83,84
148,HG,94,99,105
148,SB,108,112,115
148,MKT,86,89,91
148,HYW,96,98,100
149,LW,78,79,81
149,LMC,83,84,86
149,HG,98,104,112
149,SB,113,117,
149,MKT,92,94,98
149,HYW,101,103,107
151,LW,72,74,75
151,LMC,77,79,80
151,HG,92,96,100
151,SB,104,106,109
151,MKT,83,84,86
151,HYW,92,93,95
152,LW,79,82,83
152,LMC,84,87,88
152,HG,100,104,110
152,SB,114,117,
152,MKT,91,95,97
152,HYW,100,104,106
153,LW,74,76,78
153,LMC,79,81,83
153,HG,91,94,98
153,SB,99,103,108
153,MKT,85,87,88
153,HYW,94,96,98
154,LW,83,85,86
154,LMC,88,90,91
154,HG,101,106,110
154,SB,110,113,118
154,MKT,93,95,97
154,HYW,102,104,106
155,LW,74,75,76
155,LMC,79,80,81
155,HG,96,100,106
155,SB,105,109,113
155,MKT,87,88,89
155,HYW,96,97,99
157,LW,73,75,78
157,LMC,78,80,83
157,HG,93,97,102
157,SB,106,110,114
157,MKT,84,86,88
157,HYW,93,95,98
161,LW,79,82,84
161,LMC,84,87,89
161,HG,99,103,107
161,SB,112,116,119
161,MKT,90,92,94
161,HYW,99,101,103
162,LW,95,100,104
162,LMC,100,105,111
162,MKT,113,115,118
163,LW,91,93,94
163,LMC,96,98,100
163,HG,114,118,
163,MKT,102,103,105
163,HYW,111,112,114
164S,LW,93,97,100
164S,LMC,98,102,105
164S,HG,117,,
164S,MKT,109,111,114
164S,HYW,118,,
166,LW,86,89,94
166,LMC,91,94,99
166,HG,107,112,116
166,SB,119,,
166,MKT,97,100,105
166,HYW,106,109,114
167,LW,108,,
167,LMC,113,,
171,LW,87,89,92
171,LMC,92,94,97
171,HG,105,109,113
171,SB,116,119,
171,MKT,98,101,103
171,HYW,108,110,112
172,LW,82,84,87
172,LMC,87,89,92
172,HG,99,102,108
172,SB,111,114,118
172,MKT,92,94,97
172,HYW,101,103,106
173,LW,97,98,100
173,LMC,102,104,106
