from_id,to_id,travel_time_p25,travel_time_p50,travel_time_p75
111,LW,85,86,87
111,LMC,90,91,92
111,HG,101,105,109
111,SB,107,111,115
111,MKT,96,97,98
111,HYW,105,106,107
112,LW,75,76,78
112,LMC,80,81,83
112,HG,86,89,92
112,SB,94,97,101
112,MKT,88,90,91
112,HYW,98,99,100
113,LW,71,72,74
113,LMC,76,77,79
113,HG,85,90,95
113,SB,92,95,99
113,MKT,81,83,84
113,HYW,91,92,93
114,LW,70,70,72
114,LMC,75,75,77
114,HG,79,83,87
114,SB,89,91,94
114,MKT,80,81,82
114,HYW,89,90,92
115,LW,69,70,71
115,LMC,74,75,76
115,HG,84,87,92
115,SB,96,99,102
115,MKT,80,81,83
115,HYW,89,90,92
116,LW,75,77,78
116,LMC,80,82,83
116,HG,91,94,99
116,SB,98,102,105
116,MKT,85,87,89
116,HYW,94,96,98
121,LW,70,71,72
121,LMC,75,76,77
121,HG,79,81,83
121,SB,78,80,82
121,MKT,81,82,84
121,HYW,86,88,91
122,LW,69,70,71
122,LMC,74,75,76
122,HG,80,84,88
122,SB,90,92,94
122,MKT,80,81,83
122,HYW,89,90,92
123,LW,62,63,64
123,LMC,67,68,69
123,HG,77,80,83
123,SB,83,85,88
123,MKT,72,74,75
123,HYW,82,83,85
124,LW,59,60,62
124,LMC,64,65,67
124,HG,77,80,83
124,SB,83,85,87
124,MKT,70,71,72
124,HYW,79,80,81
131,LW,66,67,68
131,LMC,71,72,73
131,HG,77,81,86
131,SB,88,90,93
131,MKT,76,77,78
131,HYW,85,86,88
132,LW,65,67,68
132,LMC,70,72,73
132,HG,84,88,92
132,SB,92,94,95
132,MKT,76,77,79
132,HYW,85,87,88
133,LW,66,67,68
133,LMC,71,72,73
133,HG,85,89,92
133,SB,90,92,94
133,MKT,77,78,79
133,HYW,86,87,88
134,LW,58,59,60
134,LMC,63,64,65
134,HG,80,82,85
134,SB,82,84,86
134,MKT,69,70,72
134,HYW,78,79,81
135,LW,62,63,64
135,LMC,67,68,69
135,HG,83,86,89
135,SB,86,88,89
135,MKT,73,74,75
135,HYW,82,83,85
140,LW,79,81,83
140,LMC,84,86,88
140,HG,96,100,106
140,SB,108,113,117
140,MKT,90,92,93
140,HYW,99,101,103
141,LW,86,87,89
141,LMC,91,92,94
141,HG,104,108,114
141,SB,113,117,
141,MKT,104,106,108
141,HYW,114,115,117
142,LW,70,71,73
142,LMC,75,76,78
142,HG,88,92,97
142,SB,99,102,104
142,MKT,80,82,83
142,HYW,89,91,93
143,LW,74,75,76
143,LMC,79,80,81
143,HG,91,96,101
143,SB,102,106,111
143,MKT,84,86,88
143,HYW,93,95,97
144,LW,73,76,78
144,LMC,78,81,83
144,HG,94,98,102
144,SB,107,109,112
144,MKT,83,86,90
144,HYW,93,96,99
145,LW,80,82,83
145,LMC,85,87,88
145,HG,97,102,107
145,SB,111,114,117
145,MKT,92,93,94
145,HYW,101,102,104
146,LW,68,69,70
146,LMC,73,74,75
146,HG,85,90,95
146,SB,98,100,103
146,MKT,78,80,81
146,HYW,88,89,90
147,LW,72,73,74
147,LMC,77,78,79
147,HG,90,94,99
147,SB,103,106,109
147,MKT,82,84,85
147,HYW,91,93,94
148,LW,76,78,80
148,LMC,81,83,85
148,HG,94,99,105
148,SB,109,113,117
148,MKT,86,88,90
148,HYW,95,97,99
149,LW,78,80,81
149,LMC,83,85,86
149,HG,99,105,111
149,SB,113,118,
149,MKT,92,95,98
149,HYW,102,104,107
151,LW,72,73,75
151,LMC,77,78,80
151,HG,90,94,99
151,SB,103,106,109
151,MKT,83,84,86
151,HYW,92,93,95
152,LW,80,82,83
152,LMC,85,87,88
152,HG,98,104,109
152,SB,113,117,
152,MKT,91,94,97
152,HYW,100,103,106
153,LW,74,76,78
153,LMC,79,81,83
153,HG,90,94,98
153,SB,100,104,108
153,MKT,85,87,89
153,HYW,94,96,98
154,LW,82,85,87
154,LMC,87,90,92
154,HG,101,106,110
154,SB,110,113,116
154,MKT,92,95,97
154,HYW,102,105,107
155,LW,74,75,76
155,LMC,79,80,81
155,HG,97,100,105
155,SB,105,109,114
155,MKT,87,88,90
155,HYW,96,97,99
156,LW,92,94,96
156,LMC,97,99,102
156,HG,113,119,
156,MKT,104,109,112
156,HYW,114,118,
157,LW,74,76,78
157,LMC,79,81,83
157,HG,92,97,101
157,SB,106,110,114
157,MKT,84,86,89
157,HYW,93,95,98
161,LW,78,81,83
161,LMC,83,86,88
161,HG,99,102,105
161,SB,112,115,119
161,MKT,89,91,93
161,HYW,98,100,102
162,LW,97,101,104
162,LMC,102,107,111
162,MKT,112,115,117
163,LW,91,93,94
163,LMC,96,98,100
163,HG,113,117,
163,MKT,102,104,105
