from_id,to_id,travel_time_p25,travel_time_p50,travel_time_p75
111,LW,85,86,87
111,LMC,90,91,92
111,HG,101,105,110
111,SB,107,111,115
111,MKT,96,97,98
111,HYW,105,106,107
112,LW,74,76,77
112,LMC,79,81,82
112,HG,86,89,93
112,SB,94,97,100
112,MKT,89,90,91
112,HYW,98,99,100
113,LW,71,72,73
113,LMC,76,77,78
113,HG,84,89,96
113,SB,92,96,99
113,MKT,81,83,84
113,HYW,91,92,93
114,LW,70,70,72
114,LMC,75,75,77
114,HG,79,83,89
114,SB,89,91,94
114,MKT,80,81,82
114,HYW,89,90,92
115,LW,69,70,71
115,LMC,74,75,76
115,HG,83,86,91
115,SB,95,99,102
115,MKT,80,81,82
115,HYW,89,90,91
116,LW,75,77,78
116,LMC,80,82,83
116,HG,90,94,98
116,SB,100,103,105
116,MKT,86,87,89
116,HYW,95,96,98
121S,LW,65,66,67
121S,LMC,70,71,72
121S,HG,79,82,85
121S,SB,86,88,90
121S,MKT,75,76,78
121S,HYW,84,85,87
122,LW,69,70,71
122,LMC,74,75,76
122,HG,81,85,88
122,SB,90,91,93
122,MKT,79,81,83
122,HYW,89,90,92
131,LW,66,66,67
131,LMC,71,71,72
131,HG,77,82,87
131,SB,89,91,93
131,MKT,76,77,79
131,HYW,85,87,88
132,LW,66,67,68
132,LMC,71,72,73
132,HG,83,87,91
132,SB,92,94,96
132,MKT,77,78,79
132,HYW,86,87,89
133,LW,66,67,68
133,LMC,71,72,73
133,HG,85,89,92
133,SB,90,92,94
133,MKT,77,78,79
133,HYW,86,87,88
134S,LW,54,55,56
134S,LMC,59,60,61
134S,HG,76,79,81
134S,SB,78,80,82
134S,MKT,66,66,68
134S,HYW,75,76,77
140,LW,79,81,83
140,LMC,84,86,88
140,HG,97,101,106
140,SB,108,114,117
140,MKT,90,92,94
140,HYW,99,101,103
141,LW,86,87,89
141,LMC,91,92,94
141,HG,104,108,113
141,SB,114,118,
141,MKT,104,106,108
141,HYW,113,115,117
142,LW,70,71,73
142,LMC,75,76,78
142,HG,89,93,96
142,SB,100,103,104
142,MKT,81,82,84
142,HYW,90,92,93
143,LW,74,75,76
143,LMC,79,80,81
143,HG,93,97,102
143,SB,104,108,112
143,MKT,84,86,88
143,HYW,94,95,97
144,LW,72,75,78
144,LMC,77,80,83
144,HG,91,95,101
144,SB,106,110,112
144,MKT,83,86,90
144,HYW,92,95,100
145,LW,81,82,83
145,LMC,86,87,88
145,HG,98,101,106
145,SB,111,114,117
145,MKT,91,93,94
145,HYW,100,102,103
146S,LW,70,71,72
146S,LMC,75,76,77
146S,HG,88,92,97
146S,SB,100,102,105
146S,MKT,80,81,83
146S,HYW,89,90,92
148,LW,76,78,80
148,LMC,81,83,85
148,HG,96,100,104
148,SB,108,112,116
148,MKT,87,90,91
148,HYW,96,99,101
149,LW,78,79,81
149,LMC,83,84,86
149,HG,97,103,109
149,SB,112,118,
149,MKT,93,95,98
149,HYW,102,104,107
151,LW,72,73,75
151,LMC,77,78,80
151,HG,91,94,99
151,SB,104,107,109
151,MKT,82,84,85
151,HYW,91,93,94
152,LW,80,82,84
152,LMC,85,87,89
152,HG,101,105,111
152,SB,114,118,
152,MKT,91,94,97
152,HYW,100,103,107
153,LW,74,75,77
153,LMC,79,80,82
153,HG,89,93,98
153,SB,97,101,105
153,MKT,85,86,88
153,HYW,94,96,97
154,LW,83,85,87
154,LMC,88,90,92
154,HG,101,106,111
154,SB,109,112,117
154,MKT,93,96,98
154,HYW,102,105,107
155,LW,74,75,76
155,LMC,79,80,81
155,HG,96,100,105
155,SB,106,110,114
155,MKT,87,88,90
155,HYW,96,97,99
157,LW,73,76,78
157,LMC,78,81,83
157,HG,93,97,101
157,SB,106,110,115
157,MKT,84,86,89
157,HYW,93,95,98
161,LW,79,82,83
161,LMC,84,87,88
161,HG,99,102,107
161,SB,113,116,119
161,MKT,90,92,94
161,HYW,99,101,103
162,LW,97,100,104
162,LMC,102,106,111
162,MKT,112,114,117
163,LW,92,93,95
163,LMC,97,98,100
163,HG,113,117,
163,MKT,102,104,105
163,HYW,111,113,114
164S,LW,92,95,99
164S,LMC,97,101,104
164S,HG,117,,
164S,MKT,109,111,114
164S,HYW,118,,
166,LW,87,89,93
166,LMC,92,94,98
166,HG,108,112,116
166,SB,118,,
166,MKT,97,100,104
166,HYW,106,109,113
167,LW,108,,
167,LMC,113,,
171,LW,87,89,91
171,LMC,92,94,96
171,HG,105,108,113
171,SB,115,118,
171,MKT,98,100,103
171,HYW,107,110,112
172,LW,82,85,87
172,LMC,87,90,92
172,HG,98,102,107
172,SB,112,115,118
172,MKT,92,95,97
172,HYW,102,104,106
173,LW,97,98,100
173,LMC,102,103,105
