from_id,to_id,travel_time_p25,travel_time_p50,travel_time_p75
111,LW,85,86,87
111,LMC,90,91,92
111,HG,101,105,110
111,SB,108,111,115
111,MKT,96,97,98
111,HYW,105,106,107
112,LW,75,76,77
112,LMC,80,81,82
112,HG,86,89,93
112,SB,94,97,100
112,MKT,88,89,91
112,HYW,97,98,100
113,LW,71,72,73
113,LMC,76,77,78
113,HG,85,88,94
113,SB,92,96,100
113,MKT,81,83,84
113,HYW,90,92,93
114,LW,69,70,72
114,LMC,74,75,77
114,HG,77,82,87
114,SB,88,91,93
114,MKT,80,81,82
114,HYW,89,90,92
115,LW,69,70,71
115,LMC,74,75,76
115,HG,82,87,94
115,SB,95,99,102
115,MKT,80,81,82
115,HYW,89,90,92
116,LW,75,77,78
116,LMC,80,82,83
116,HG,92,95,97
116,SB,98,101,104
116,MKT,86,87,88
116,HYW,95,96,97
121,LW,70,71,72
121,LMC,75,76,77
121,HG,79,81,84
121,SB,78,80,82
121,MKT,81,82,83
121,HYW,86,89,91
122,LW,69,70,72
122,LMC,74,75,77
122,HG,81,85,89
122,SB,90,91,94
122,MKT,80,81,83
122,HYW,89,90,92
123,LW,62,63,64
123,LMC,67,68,69
123,HG,77,81,84
123,SB,84,86,88
123,MKT,72,74,75
123,HYW,82,83,85
124,LW,59,60,62
124,LMC,64,65,67
124,HG,76,79,82
124,SB,83,85,87
124,MKT,69,71,73
124,HYW,78,81,82
131,LW,66,67,68
131,LMC,71,72,73
131,HG,79,82,86
131,SB,89,91,93
131,MKT,76,77,79
131,HYW,85,87,88
132,LW,65,67,68
132,LMC,70,72,73
132,HG,82,85,89
132,SB,92,94,95
132,MKT,76,78,79
132,HYW,85,87,88
133,LW,66,67,68
133,LMC,71,72,73
133,HG,84,88,91
133,SB,90,92,94
133,MKT,77,78,79
133,HYW,86,87,89
134,LW,58,59,60
134,LMC,63,64,65
134,HG,81,83,85
134,SB,82,84,85
134,MKT,69,70,71
134,HYW,78,79,81
135,LW,62,63,64
135,LMC,67,68,69
135,HG,83,86,88
135,SB,86,88,89
135,MKT,73,74,75
135,HYW,82,83,84
140,LW,79,80,82
140,LMC,84,85,87
140,HG,96,100,105
140,SB,110,114,117
140,MKT,90,91,93
140,HYW,99,100,103
141,LW,86,87,89
141,LMC,91,92,94
141,HG,104,108,116
141,SB,113,118,
141,MKT,104,106,108
141,HYW,113,115,117
142,LW,71,72,73
142,LMC,76,77,78
142,HG,88,91,95
142,SB,99,102,105
142,MKT,81,82,84
142,HYW,90,91,93
143,LW,73,75,76
143,LMC,78,80,81
143,HG,92,96,101
143,SB,100,107,112
143,MKT,84,86,88
143,HYW,93,95,97
144,LW,73,75,78
144,LMC,78,80,83
144,HG,92,96,102
144,SB,106,109,112
144,MKT,83,86,90
144,HYW,92,95,99
145,LW,81,82,83
145,LMC,86,87,88
145,HG,97,102,107
145,SB,111,114,117
145,MKT,91,93,94
145,HYW,100,102,104
146,LW,68,69,70
146,LMC,73,74,75
146,HG,84,89,94
146,SB,97,100,102
146,MKT,78,80,81
146,HYW,88,89,91
147,LW,71,72,74
147,LMC,76,77,79
147,HG,91,94,99
147,SB,103,106,109
147,MKT,82,83,85
147,HYW,91,92,94
148,LW,76,78,80
148,LMC,81,83,85
148,HG,94,98,104
148,SB,109,113,117
148,MKT,87,89,91
148,HYW,97,98,101
149,LW,78,79,81
149,LMC,83,84,86
149,HG,98,105,112
149,SB,112,118,
149,MKT,93,95,97
149,HYW,102,104,106
151,LW,71,73,75
151,LMC,76,78,80
151,HG,91,94,99
151,SB,103,106,109
151,MKT,82,84,86
151,HYW,91,93,95
152,LW,79,82,84
152,LMC,84,87,89
152,HG,98,103,110
152,SB,112,117,
152,MKT,92,95,97
152,HYW,101,104,106
153,LW,74,75,77
153,LMC,79,80,82
153,HG,90,93,98
153,SB,98,102,105
153,MKT,84,86,88
153,HYW,93,95,97
154,LW,83,85,87
154,LMC,88,90,92
154,HG,101,105,109
154,SB,109,113,117
154,MKT,93,95,97
154,HYW,102,105,106
155,LW,74,75,76
155,LMC,79,80,81
155,HG,97,100,104
155,SB,106,110,114
155,MKT,86,88,90
155,HYW,95,97,99
156,LW,92,94,97
156,LMC,97,99,103
156,HG,115,119,
156,MKT,107,109,113
156,HYW,116,119,
157,LW,74,76,78
157,LMC,79,81,83
157,HG,93,98,102
157,SB,106,112,115
157,MKT,84,86,89
157,HYW,93,96,98
161,LW,78,81,83
161,LMC,83,86,88
161,HG,99,103,107
161,SB,113,116,
161,MKT,89,91,94
161,HYW,98,101,103
162,LW,96,100,103
162,LMC,101,106,110
162,MKT,112,115,118
163,LW,91,93,95
163,LMC,96,98,100
163,HG,112,117,
163,MKT,102,103,105
