from_id,to_id,travel_time_p25,travel_time_p50,travel_time_p75
111,LW,85,86,87
111,LMC,90,91,92
111,HG,102,105,110
111,SB,109,113,116
111,MKT,96,97,98
111,HYW,105,106,107
112,LW,75,76,78
112,LMC,80,81,83
112,HG,85,88,92
112,SB,94,96,99
112,MKT,88,90,91
112,HYW,98,99,100
113,LW,71,72,73
113,LMC,76,77,78
113,HG,85,89,94
113,SB,91,95,98
113,MKT,81,83,84
113,HYW,90,92,93
114,LW,70,70,72
114,LMC,75,75,77
114,HG,80,84,89
114,SB,89,91,95
114,MKT,80,81,83
114,HYW,89,90,92
115,LW,69,70,71
115,LMC,74,75,76
115,HG,83,87,92
115,SB,96,98,102
115,MKT,80,81,83
115,HYW,89,90,92
116,LW,75,77,78
116,LMC,80,82,83
116,HG,91,93,97
116,SB,99,102,105
116,MKT,86,87,88
116,HYW,95,96,97
121S,LW,65,66,67
121S,LMC,70,71,72
121S,HG,77,82,86
121S,SB,86,88,91
121S,MKT,75,77,78
121S,HYW,84,86,87
122,LW,69,70,71
122,LMC,74,75,76
122,HG,81,85,88
122,SB,89,92,94
122,MKT,79,81,83
122,HYW,88,90,92
131,LW,66,67,67
131,LMC,71,72,72
131,HG,78,81,87
131,SB,89,91,93
131,MKT,76,77,78
131,HYW,85,86,87
132,LW,66,67,68
132,LMC,71,72,73
132,HG,84,87,91
132,SB,92,94,96
132,MKT,76,77,79
132,HYW,85,87,89
133,LW,66,67,68
133,LMC,71,72,73
133,HG,84,87,92
133,SB,90,92,94
133,MKT,77,78,79
133,HYW,86,87,89
134S,LW,54,55,56
134S,LMC,59,60,61
134S,HG,76,79,81
134S,SB,78,80,82
134S,MKT,65,67,68
134S,HYW,74,76,77
140,LW,79,81,83
140,LMC,84,86,88
140,HG,95,100,106
140,SB,109,113,116
140,MKT,90,92,94
140,HYW,99,101,103
141,LW,86,88,90
141,LMC,91,93,95
141,HG,103,108,113
141,SB,114,117,
141,MKT,104,106,108
141,HYW,113,115,117
142,LW,70,71,73
142,LMC,75,76,78
142,HG,88,92,96
142,SB,100,102,104
142,MKT,81,82,84
142,HYW,90,91,93
143,LW,73,74,76
143,LMC,78,79,81
143,HG,92,95,101
143,SB,102,108,111
143,MKT,84,86,88
143,HYW,93,95,97
144,LW,72,75,77
144,LMC,77,80,82
144,HG,92,96,101
144,SB,107,110,112
144,MKT,83,86,90
144,HYW,92,95,99
145,LW,80,82,83
145,LMC,85,87,88
145,HG,97,102,108
145,SB,111,113,117
145,MKT,91,93,94
145,HYW,100,102,103
146S,LW,69,71,72
146S,LMC,74,76,77
146S,HG,88,93,98
146S,SB,100,104,106
146S,MKT,80,81,83
146S,HYW,89,90,92
148,LW,76,78,80
148,LMC,81,83,85
148,HG,94,99,105
148,SB,109,113,116
148,MKT,87,89,92
148,HYW,96,98,101
149,LW,78,79,81
149,LMC,83,84,86
149,HG,98,105,112
149,SB,114,118,
149,MKT,92,95,98
149,HYW,101,104,107
151,LW,72,73,75
151,LMC,77,78,80
151,HG,90,95,100
151,SB,103,107,109
151,MKT,82,84,86
151,HYW,91,93,95
152,LW,79,81,83
152,LMC,84,86,88
152,HG,98,103,109
152,SB,112,116,
152,MKT,90,93,96
152,HYW,99,102,105
153,LW,75,76,77
153,LMC,80,81,82
153,HG,89,94,99
153,SB,99,103,107
153,MKT,85,86,88
153,HYW,94,96,97
154,LW,82,85,87
154,LMC,87,90,92
154,HG,101,106,110
154,SB,108,113,117
154,MKT,93,95,98
154,HYW,102,104,107
155,LW,74,75,76
155,LMC,79,80,81
155,HG,96,99,104
155,SB,106,109,113
155,MKT,87,88,90
155,HYW,96,97,99
157,LW,73,75,78
157,LMC,78,80,83
157,HG,92,95,101
157,SB,105,110,114
157,MKT,84,86,88
157,HYW,93,95,98
161,LW,78,81,83
161,LMC,83,86,88
161,HG,99,103,106
161,SB,113,115,119
161,MKT,89,91,93
161,HYW,98,100,102
162,LW,97,100,104
162,LMC,102,105,111
162,MKT,112,115,117
163,LW,91,93,94
163,LMC,96,98,100
163,HG,113,117,
163,MKT,102,103,105
163,HYW,111,112,114
164S,LW,93,96,99
164S,LMC,98,101,105
164S,HG,117,,
164S,MKT,109,112,114
164S,HYW,118,,
166,LW,87,90,94
166,LMC,92,95,99
166,HG,109,113,118
166,SB,119,,
166,MKT,98,101,105
166,HYW,107,110,114
167,LW,108,,
167,LMC,113,,
171,LW,87,89,91
171,LMC,92,94,96
171,HG,104,108,113
171,SB,114,118,
171,MKT,98,101,103
171,HYW,107,110,112
172,LW,82,85,87
172,LMC,87,90,92
172,HG,98,104,108
172,SB,111,115,118
172,MKT,92,95,97
172,HYW,102,104,107
173,LW,97,99,100
173,LMC,102,104,106
