from_id,to_id,travel_time_p25,travel_time_p50,travel_time_p75,runs_present_p50,p50_run_sd,p50_run_range
111,HG,101.0,105.0,110.0,5,0.4472135954999579,1.0
111,HYW,105.0,106.0,107.0,5,0.0,0.0
111,LMC,90.0,91.0,92.0,5,0.0,0.0
111,LW,85.0,86.0,87.0,5,0.0,0.0
111,MKT,96.0,97.0,98.0,5,0.0,0.0
111,SB,107.0,111.0,115.0,5,0.7071067811865476,2.0
112,HG,86.0,89.0,93.0,5,0.5477225575051661,1.0
112,HYW,98.0,99.0,100.0,5,0.4472135954999579,1.0
112,LMC,80.0,81.0,82.0,5,0.0,0.0
112,LW,75.0,76.0,77.0,5,0.0,0.0
112,MKT,89.0,90.0,91.0,5,0.4472135954999579,1.0
112,SB,94.0,97.0,100.0,5,0.0,0.0
113,HG,85.0,90.0,95.0,5,0.8944271909999159,2.0
113,HYW,90.0,92.0,93.0,5,0.0,0.0
113,LMC,76.0,77.0,78.0,5,0.0,0.0
113,LW,71.0,72.0,73.0,5,0.0,0.0
113,MKT,81.0,83.0,84.0,5,0.0,0.0
113,SB,92.0,95.0,99.0,5,0.5477225575051661,1.0
114,HG,79.0,82.0,87.0,5,0.5477225575051661,1.0
114,HYW,89.0,90.0,92.0,5,0.0,0.0
114,LMC,74.0,75.0,77.0,5,0.4472135954999579,1.0
114,LW,69.0,70.0,72.0,5,0.4472135954999579,1.0
114,MKT,80.0,81.0,82.0,5,0.0,0.0
114,SB,89.0,91.0,93.0,5,0.0,0.0
115,HG,83.0,87.0,94.0,5,0.4472135954999579,1.0
115,HYW,89.0,90.0,92.0,5,0.0,0.0
115,LMC,74.0,75.0,76.0,5,0.0,0.0
115,LW,69.0,70.0,71.0,5,0.0,0.0
115,MKT,80.0,81.0,83.0,5,0.0,0.0
115,SB,95.0,99.0,102.0,5,0.4472135954999579,1.0
116,HG,90.0,94.0,98.0,5,0.8366600265340756,2.0
116,HYW,94.0,96.0,97.0,5,0.0,0.0
116,LMC,80.0,82.0,83.0,5,0.5477225575051661,1.0
116,LW,75.0,77.0,78.0,5,0.5477225575051661,1.0
116,MKT,85.0,87.0,88.0,5,0.0,0.0
116,SB,99.0,102.0,105.0,5,0.7071067811865476,2.0
121,HG,79.0,81.0,83.0,5,0.0,0.0
121,HYW,86.0,89.0,91.0,5,0.5477225575051661,1.0
121,LMC,75.0,76.0,77.0,5,0.0,0.0
121,LW,70.0,71.0,72.0,5,0.0,0.0
121,MKT,81.0,82.0,83.0,5,0.0,0.0
121,SB,78.0,80.0,82.0,5,0.0,0.0
122,HG,80.0,84.0,88.0,5,0.7071067811865476,2.0
122,HYW,89.0,90.0,92.0,5,0.0,0.0
122,LMC,74.0,75.0,76.0,5,0.0,0.0
122,LW,69.0,70.0,71.0,5,0.0,0.0
122,MKT,79.0,81.0,83.0,5,0.0,0.0
122,SB,89.0,91.0,94.0,5,0.5477225575051661,1.0
123,HG,77.0,80.0,83.0,5,0.4472135954999579,1.0
123,HYW,82.0,83.0,85.0,5,0.0,0.0
123,LMC,67.0,68.0,69.0,5,0.0,0.0
123,LW,62.0,63.0,64.0,5,0.0,0.0
123,MKT,73.0,74.0,75.0,5,0.0,0.0
123,SB,84.0,86.0,88.0,5,0.5477225575051661,1.0
124,HG,77.0,80.0,82.0,5,0.5477225575051661,1.0
124,HYW,79.0,81.0,82.0,5,0.5477225575051661,1.0
124,LMC,64.0,65.0,67.0,5,0.0,0.0
124,LW,59.0,60.0,62.0,5,0.0,0.0
124,MKT,70.0,71.0,73.0,5,0.4472135954999579,1.0
124,SB,83.0,85.0,87.0,5,0.0,0.0
131,HG,78.0,82.0,87.0,5,0.7071067811865476,2.0
131,HYW,85.0,86.0,88.0,5,0.5477225575051661,1.0
131,LMC,71.0,71.0,72.0,5,0.5477225575051661,1.0
131,LW,66.0,66.0,67.0,5,0.5477225575051661,1.0
131,MKT,76.0,77.0,79.0,5,0.0,0.0
131,SB,89.0,91.0,93.0,5,0.4472135954999579,1.0
132,HG,82.0,87.0,91.0,5,1.224744871391589,3.0
132,HYW,85.0,86.0,88.0,5,0.5477225575051661,1.0
132,LMC,70.0,72.0,73.0,5,0.4472135954999579,1.0
132,LW,65.0,67.0,68.0,5,0.4472135954999579,1.0
132,MKT,76.0,77.0,79.0,5,0.4472135954999579,1.0
132,SB,92.0,94.0,96.0,5,0.0,0.0
133,HG,85.0,88.0,91.0,5,0.8366600265340756,2.0
133,HYW,86.0,87.0,88.0,5,0.0,0.0
133,LMC,71.0,72.0,73.0,5,0.0,0.0
133,LW,66.0,67.0,68.0,5,0.0,0.0
133,MKT,77.0,78.0,79.0,5,0.0,0.0
133,SB,90.0,92.0,94.0,5,0.0,0.0
134,HG,81.0,83.0,85.0,5,0.4472135954999579,1.0
134,HYW,78.0,79.0,81.0,5,0.4472135954999579,1.0
134,LMC,63.0,64.0,65.0,5,0.0,0.0
134,LW,58.0,59.0,60.0,5,0.0,0.0
134,MKT,69.0,70.0,71.0,5,0.4472135954999579,1.0
134,SB,82.0,84.0,86.0,5,0.0,0.0
135,HG,83.0,86.0,88.0,5,0.4472135954999579,1.0
135,HYW,82.0,83.0,85.0,5,0.4472135954999579,1.0
135,LMC,67.0,68.0,69.0,5,0.0,0.0
135,LW,62.0,63.0,64.0,5,0.0,0.0
135,MKT,73.0,74.0,76.0,5,0.0,0.0
135,SB,86.0,88.0,89.0,5,0.0,0.0
140,HG,96.0,100.0,106.0,5,0.0,0.0
140,HYW,99.0,101.0,103.0,5,0.4472135954999579,1.0
140,LMC,84.0,86.0,87.0,5,0.5477225575051661,1.0
140,LW,79.0,81.0,82.0,5,0.5477225575051661,1.0
140,MKT,90.0,92.0,93.0,5,0.5477225575051661,1.0
140,SB,109.0,113.0,117.0,5,1.140175425099138,3.0
141,HG,104.0,108.0,115.0,5,0.4472135954999579,1.0
141,HYW,114.0,115.0,117.0,5,0.4472135954999579,1.0
141,LMC,91.0,93.0,94.0,5,0.5477225575051661,1.0
141,LW,86.0,88.0,89.0,5,0.5477225575051661,1.0
141,MKT,104.0,106.0,108.0,5,0.4472135954999579,1.0
141,SB,113.0,117.0,,5,0.5477225575051661,1.0
142,HG,88.0,92.0,96.0,5,0.7071067811865476,2.0
142,HYW,90.0,91.0,93.0,5,0.4472135954999579,1.0
142,LMC,75.0,77.0,78.0,5,0.5477225575051661,1.0
142,LW,70.0,72.0,73.0,5,0.5477225575051661,1.0
142,MKT,81.0,82.0,84.0,5,0.0,0.0
142,SB,99.0,102.0,105.0,5,0.0,0.0
143,HG,92.0,96.0,101.0,5,0.7071067811865476,2.0
143,HYW,93.0,95.0,97.0,5,0.4472135954999579,1.0
143,LMC,78.0,80.0,81.0,5,0.0,0.0
143,LW,73.0,75.0,76.0,5,0.0,0.0
143,MKT,84.0,86.0,88.0,5,0.4472135954999579,1.0
143,SB,102.0,107.0,112.0,5,0.7071067811865476,2.0
144,HG,92.0,96.0,102.0,5,0.8944271909999159,2.0
144,HYW,92.0,96.0,99.0,5,0.4472135954999579,1.0
144,LMC,77.0,81.0,83.0,5,0.5477225575051661,1.0
144,LW,72.0,76.0,78.0,5,0.5477225575051661,1.0
144,MKT,83.0,87.0,90.0,5,0.5477225575051661,1.0
144,SB,107.0,109.0,112.0,5,0.5477225575051661,1.0
145,HG,97.0,102.0,107.0,5,0.7071067811865476,2.0
145,HYW,100.0,102.0,103.0,5,0.0,0.0
145,LMC,86.0,87.0,88.0,5,0.0,0.0
145,LW,81.0,82.0,83.0,5,0.0,0.0
145,MKT,91.0,93.0,94.0,5,0.0,0.0
145,SB,111.0,114.0,117.0,5,0.4472135954999579,1.0
146,HG,85.0,89.0,94.0,5,0.7071067811865476,2.0
146,HYW,88.0,89.0,90.0,5,0.0,0.0
146,LMC,73.0,74.0,75.0,5,0.0,0.0
146,LW,68.0,69.0,70.0,5,0.0,0.0
146,MKT,79.0,80.0,81.0,5,0.0,0.0
146,SB,98.0,100.0,103.0,5,0.5477225575051661,1.0
147,HG,91.0,95.0,99.0,5,0.5477225575051661,1.0
147,HYW,91.0,92.0,94.0,5,0.5477225575051661,1.0
147,LMC,76.0,78.0,79.0,5,0.4472135954999579,1.0
147,LW,71.0,73.0,74.0,5,0.4472135954999579,1.0
147,MKT,82.0,83.0,85.0,5,0.5477225575051661,1.0
147,SB,103.0,105.0,109.0,5,0.5477225575051661,1.0
148,HG,95.0,99.0,103.0,5,0.4472135954999579,1.0
148,HYW,96.0,98.0,101.0,5,0.4472135954999579,1.0
148,LMC,81.0,83.0,85.0,5,0.0,0.0
148,LW,76.0,78.0,80.0,5,0.0,0.0
148,MKT,87.0,89.0,91.0,5,0.4472135954999579,1.0
148,SB,109.0,113.0,116.0,5,0.8944271909999159,2.0
149,HG,99.0,105.0,111.0,5,0.4472135954999579,1.0
149,HYW,101.0,104.0,107.0,5,0.5477225575051661,1.0
149,LMC,83.0,84.0,86.0,5,0.4472135954999579,1.0
149,LW,78.0,79.0,81.0,5,0.4472135954999579,1.0
149,MKT,92.0,95.0,98.0,5,0.5477225575051661,1.0
149,SB,112.0,118.0,,5,0.5477225575051661,1.0
151,HG,91.0,94.0,100.0,5,0.0,0.0
151,HYW,91.0,93.0,95.0,5,0.0,0.0
151,LMC,76.0,78.0,80.0,5,0.0,0.0
151,LW,71.0,73.0,75.0,5,0.0,0.0
151,MKT,82.0,84.0,86.0,5,0.0,0.0
151,SB,104.0,106.0,109.0,5,0.0,0.0
152,HG,98.0,104.0,109.0,5,0.8366600265340756,2.0
152,HYW,100.0,103.0,106.0,5,0.7071067811865476,2.0
152,LMC,85.0,87.0,88.0,5,0.0,0.0
152,LW,80.0,82.0,83.0,5,0.0,0.0
152,MKT,91.0,94.0,97.0,5,0.7071067811865476,2.0
152,SB,113.0,117.0,,5,0.0,0.0
153,HG,90.0,94.0,99.0,5,0.4472135954999579,1.0
153,HYW,94.0,96.0,98.0,5,0.4472135954999579,1.0
153,LMC,79.0,81.0,82.0,5,0.4472135954999579,1.0
153,LW,74.0,76.0,77.0,5,0.4472135954999579,1.0
153,MKT,85.0,87.0,89.0,5,0.5477225575051661,1.0
153,SB,99.0,103.0,107.0,5,0.7071067811865476,2.0
154,HG,101.0,106.0,110.0,5,0.8366600265340756,2.0
154,HYW,102.0,105.0,107.0,5,0.7071067811865476,2.0
154,LMC,88.0,90.0,92.0,5,0.4472135954999579,1.0
154,LW,83.0,85.0,87.0,5,0.4472135954999579,1.0
154,MKT,93.0,95.0,97.0,5,0.5477225575051661,1.0
154,SB,109.0,113.0,117.0,5,0.4472135954999579,1.0
155,HG,97.0,100.0,105.0,5,0.8944271909999159,2.0
155,HYW,96.0,97.0,99.0,5,0.0,0.0
155,LMC,79.0,80.0,81.0,5,0.0,0.0
155,LW,74.0,75.0,76.0,5,0.0,0.0
155,MKT,87.0,88.0,90.0,5,0.0,0.0
155,SB,106.0,110.0,114.0,5,0.4472135954999579,1.0
156,HG,114.0,119.0,,3,0.0,0.0
156,HYW,114.0,118.0,,5,0.5477225575051661,1.0
156,LMC,97.0,99.0,103.0,5,0.4472135954999579,1.0
156,LW,92.0,94.0,97.0,5,0.0,0.0
156,MKT,104.0,109.0,113.0,5,0.7071067811865476,2.0
157,HG,93.0,97.0,101.0,5,0.7071067811865476,2.0
157,HYW,93.0,96.0,98.0,5,0.5477225575051661,1.0
157,LMC,79.0,81.0,83.0,5,0.0,0.0
157,LW,74.0,76.0,78.0,5,0.0,0.0
157,MKT,84.0,86.0,89.0,5,0.5477225575051661,1.0
157,SB,106.0,110.0,115.0,5,1.140175425099138,3.0
161,HG,99.0,103.0,107.0,5,0.8366600265340756,2.0
161,HYW,98.0,100.0,103.0,5,0.5477225575051661,1.0
161,LMC,83.0,86.0,88.0,5,0.0,0.0
161,LW,78.0,81.0,83.0,5,0.0,0.0
161,MKT,89.0,91.0,93.0,5,0.0,0.0
161,SB,112.0,116.0,119.0,5,0.5477225575051661,1.0
162,LMC,101.0,106.0,111.0,5,0.7071067811865476,2.0
