stpug_id,stpug_name_en,is_composite,group_size,stpug_name_zh,population,median_hh_income,median_emp_income,area_km2,pop_density_km2,min_tt,nearest_bcp,bcps_within_45,bcps_within_60,bcps_within_75,bcps_within_90
220S,220 and 226,True,2,220 及 226,11607.0,36390.0,25000.0,0.7878149148249226,14733.155950188431,66.0,LW,0,0,2,6
221,221,False,1,221,79898.0,23030.0,18000.0,0.7386837451720922,108162.6616562221,60.0,LW,0,1,3,6
222,222,False,1,222,19223.0,20020.0,18000.0,0.38588366302409766,49815.53209418861,58.0,LW,0,1,3,6
225,225,False,1,225,39854.0,21550.0,17000.0,0.3438480650618691,115905.84345102831,65.0,LW,0,0,2,6
227,227,False,1,227,18400.0,22760.0,20000.0,0.19250387373101338,95582.49215135489,60.0,LW,0,1,3,6
228,228,False,1,228,14490.0,18160.0,15000.0,0.09330784351163544,155292.41117005458,61.0,LW,0,0,3,6
229,229,False,1,229,15842.0,20000.0,16000.0,0.15334112434698932,103312.1419153794,59.0,LW,0,1,3,6
231,231,False,1,231,6541.0,74340.0,36000.0,0.12731705859762943,51375.67637870162,60.0,LW,0,1,3,5
232,232,False,1,232,4030.0,75040.0,40000.0,0.27278204882644036,14773.699432707605,64.0,LW,0,0,2,5
233,233,False,1,233,3467.0,65140.0,40000.0,0.26108351058011875,13279.276015158686,65.0,LW,0,0,2,5
234,234,False,1,234,14059.0,60470.0,30000.0,0.3831316405242849,36694.959415937,58.0,LW,0,1,3,5
235,235,False,1,235,16052.0,49750.0,31000.0,0.21958355269532115,73102.01425820192,67.0,LW,0,0,2,5
236,236,False,1,236,29334.0,26500.0,20000.0,0.46013344172542636,63751.071623923315,66.0,LW,0,0,2,6
237,237,False,1,237,21469.0,24070.0,18000.0,0.37319052149299903,57528.256382585416,62.0,LW,0,0,3,5
241,241,False,1,241,43322.0,27220.0,19000.0,0.35435289422721766,122256.65630438206,51.0,LW,0,2,4,6
242,242,False,1,242,48753.0,23140.0,18300.0,0.3911529120588647,124639.23569783663,58.0,LW,0,1,3,6
243,243,False,1,243,33985.0,21640.0,18000.0,0.3438139906190522,98847.05371881032,61.0,LW,0,0,3,6
244,244,False,1,244,23324.0,39070.0,26250.0,0.35571570340246705,65569.21658758076,60.0,LW,0,1,3,6
245,245,False,1,245,45645.0,40040.0,26000.0,0.3491118860111145,130746.04970209129,63.0,LW,0,0,3,6
246,246,False,1,246,16785.0,25060.0,20000.0,0.31352481503887025,53536.432189327745,60.0,LW,0,1,3,5
247,247,False,1,247,6405.0,36120.0,23000.0,0.13336807703212916,48024.9857577012,60.0,LW,0,1,3,6
251S,251 and 256,True,2,251 及 256,18343.0,86170.0,47700.0,0.8780895767848478,20889.668303732135,66.0,LW,0,0,4,6
252,252,False,1,252,1200.0,52040.0,36000.0,0.43537758126727677,2756.228275482389,72.0,LW,0,0,1,6
253,253,False,1,253,32342.0,38040.0,22010.0,0.5137404415701893,62953.96932573646,62.0,LW,0,0,2,6
254,254,False,1,254,21191.0,81040.0,50000.0,0.4300140830222453,49279.781376145664,67.0,LW,0,0,2,6
255,255,False,1,255,69907.0,32100.0,20000.0,0.8119136420893781,86101.52161023107,66.0,LW,0,0,2,6
260,260,False,1,260,44201.0,48700.0,30000.0,0.9069645645756051,48735.09035127841,61.0,LW,0,0,5,6
261,261,False,1,261,11052.0,22750.0,19000.0,0.9544368324048504,11579.603410896021,75.0,LW,0,0,1,3
262,262,False,1,262,34664.0,18880.0,14310.0,0.5252588447519406,65994.12907815092,72.0,LW,0,0,1,4
263,263,False,1,263,54891.0,17290.0,15000.0,1.2908154188406307,42524.282867105314,66.0,LW,0,0,2,5
264,264,False,1,264,71231.0,20040.0,17000.0,0.7958673613613099,89501.09460219763,65.0,LW,0,0,2,6
265,265,False,1,265,20237.0,17510.0,16000.0,0.31572255699742774,64097.41575786388,63.0,LW,0,0,2,6
266,266,False,1,266,49936.0,17540.0,15000.0,0.42087524083166555,118647.98675570593,62.0,LW,0,0,2,6
267,267,False,1,267,37181.0,18320.0,15000.0,0.26947621162837,137975.07310691927,59.0,LW,0,1,3,6
268,268,False,1,268,25222.0,25140.0,21250.0,1.333962748648226,18907.574462299468,56.0,LW,0,1,3,6
269,269,False,1,269,10779.0,25190.0,18000.0,1.6982456470928644,6347.13830619969,88.0,LW,0,0,0,1
271,271,False,1,271,16911.0,88100.0,44560.0,1.5660817687149187,10798.286741998585,50.0,LW,0,2,6,6
272,272,False,1,272,10015.0,76720.0,40000.0,0.8134931021339814,12311.106232773613,56.0,LW,0,1,3,6
280,280,False,1,280,38848.0,29040.0,21000.0,1.3829237907781997,28091.208104923433,67.0,LW,0,0,2,5
281,281,False,1,281,190329.0,24040.0,16700.0,2.8649319965583846,66434.03760670076,62.0,LW,0,0,2,4
282,282,False,1,282,53722.0,25040.0,17500.0,1.074914582751669,49977.9246295806,58.0,LW,0,1,3,4
283,283,False,1,283,61646.0,19540.0,16000.0,0.767096987506238,80362.71945273243,62.0,LW,0,0,2,4
284,284,False,1,284,18789.0,23510.0,20000.0,0.3827036273882687,49095.43222316464,58.0,LW,0,1,3,4
285,285,False,1,285,15619.0,22040.0,20000.0,0.3278800381811224,47636.32481759074,62.0,LW,0,0,3,4
286,286,False,1,286,42575.0,19540.0,16070.0,3.1066075434051337,13704.659956285885,74.0,LW,0,0,1,3
287,287,False,1,287,17972.0,16800.0,15000.0,0.13234868961651902,135792.806502837,60.0,LW,0,1,3,4
288S,288 - 289,True,2,288 - 289,64344.0,29130.0,18000.0,4.1004616016379885,15691.89185293111,89.0,LW,0,0,0,1
290,290,False,1,290,52702.0,30440.0,20000.0,1.084285959396826,48605.25910463457,80.0,LW,0,0,0,2
291,291,False,1,291,87920.0,20130.0,16000.0,1.0617093047560726,82809.86104779367,66.0,LW,0,0,2,4
292,292,False,1,292,73666.0,20390.0,15000.0,1.33036630464482,55372.719335121226,74.0,LW,0,0,1,2
293S,293 and 296,True,2,293 及 296,104855.0,20470.0,15000.0,1.834696929846412,57151.128502066946,78.0,LW,0,0,0,2
294,294,False,1,294,158821.0,19330.0,15800.0,1.7847047918456271,88990.06755944075,71.0,LW,0,0,1,3
295,295,False,1,295,1900.0,15000.0,11750.0,0.7108833222889006,2672.731150707523,67.0,LW,0,0,2,4
297,297,False,1,297,98452.0,23880.0,18000.0,1.233922160437748,79787.85304015694,75.0,LW,0,0,1,3
298,298,False,1,298,55979.0,30840.0,19500.0,1.2168510231107268,46003.16631767849,71.0,LW,0,0,1,3
320S,"320, 324 and 329",True,3,"320, 324 及 329",124311.0,29990.0,20000.0,6.140387613821305,20244.81316459408,73.0,LW,0,0,1,2
322,322,False,1,322,3399.0,45140.0,23750.0,0.5231969097725042,6496.598004521756,75.0,HG,0,0,1,4
323,323,False,1,323,78334.0,40190.0,24000.0,2.2753276028862044,34427.569858790885,72.0,LW,0,0,3,6
325,325,False,1,325,55537.0,20140.0,15000.0,1.3136525106881327,42276.78137722126,74.0,LW,0,0,1,5
326,326,False,1,326,156842.0,21270.0,15500.0,2.017003032439016,77759.92275546672,66.0,LW,0,0,2,6
327,327,False,1,327,106812.0,21850.0,15570.0,3.991679828002341,26758.659161662945,71.0,LW,0,0,1,4
328,328,False,1,328,54288.0,25610.0,18000.0,2.106486243900788,25771.827448286378,75.0,LW,0,0,1,4
335,335,False,1,335,24813.0,52100.0,30000.0,2.456723363887831,10100.03827241369,79.0,SB,0,0,0,1
350,350,False,1,350,106080.0,29410.0,19040.0,6.350071359188411,16705.324082146668,82.0,LW,0,0,0,2
351,351,False,1,351,73501.0,25340.0,17000.0,4.346151357723603,16911.744196248575,88.0,LW,0,0,0,1
423S,423 and 428,True,2,423 及 428,180876.0,20190.0,16500.0,7.047742740716557,25664.387400952437,42.0,SB,1,3,6,6
424,424,False,1,424,103699.0,25060.0,18000.0,1.7562985715832542,59044.06100297528,34.0,SB,1,3,6,6
426,426,False,1,426,23741.0,40400.0,27810.0,2.438493320663768,9735.929887040906,50.0,SB,0,1,2,6
