model,n,r2_or_pseudo_r2,aic,income_beta,income_p,density_beta,density_p,spatial_parameter,filtered_or_residual_moran_i,moran_p
OLS,176,0.06424473767554717,,4.249530986607331,1.1417250860997e-05,-0.4145286198354188,0.7015814000846787,,0.664593666474586,5.128763673609334e-36
SAR Queen,176,0.30986759710833034,1452.7294469940798,2.5966332234127982,0.020257087360599526,-2.038931837854002,0.06779518334264245,0.402910425880917,0.32639715323864726,0.001
SEM Queen,176,0.007605638121294288,1338.9413898745408,0.053212522010333885,0.9486788110441818,-3.977552623572409,4.828492155485662e-06,0.8221273239185359,-0.09196091717480362,0.048
SEM KNN5,176,0.0073061126977635085,1317.8259878250965,0.025413249037302243,0.9747968007800637,-4.353390788749872,8.523386301268e-08,0.840503698937438,-0.009829175990876963,0.484
GWR,176,0.784593158312568,1300.757020996081,1.4770591932602537,,-5.6778091194601625,,47.0,0.17250372097392352,0.001
