id,lon,lat,snap_lat_1600,snap_lon_1600,distance_1600,found_1600,snap_lat_5000,snap_lon_5000,distance_5000,found_5000,stable_route,classification
156S,114.212438978916,22.2697971710629,22.2700298,114.2129341,57.1069680748522,TRUE,22.2700298,114.2129341,57.1069680748522,TRUE,FALSE,snapped_but_no_stable_p50_route_within_120min
167,114.249568019449,22.2581279595722,22.2580589,114.2494752,12.2491436688086,TRUE,22.2580589,114.2494752,12.2491436688086,TRUE,FALSE,snapped_but_no_stable_p50_route_within_120min
183S,114.176680856786,22.2619444557704,22.2626679,114.1767883,81.1543679751696,TRUE,22.2626679,114.1767883,81.1543679751696,TRUE,FALSE,snapped_but_no_stable_p50_route_within_120min
190S,114.206393085753,22.2452618908902,22.2444952,114.2077718,165.444578736633,TRUE,22.2444952,114.2077718,165.444578736633,TRUE,FALSE,snapped_but_no_stable_p50_route_within_120min
196,114.239502961351,22.2320021347761,22.2320065,114.2403408,86.1908948087598,TRUE,22.2320065,114.2403408,86.1908948087598,TRUE,FALSE,snapped_but_no_stable_p50_route_within_120min
197,114.247245222167,22.2332906577336,22.2332222,114.247478,25.1254508066846,TRUE,22.2332222,114.247478,25.1254508066846,TRUE,FALSE,snapped_but_no_stable_p50_route_within_120min
310S,114.131280223996,22.3973185578701,22.3976858,114.1316192,53.6542318480513,TRUE,22.3976858,114.1316192,53.6542318480513,TRUE,FALSE,snapped_but_no_stable_p50_route_within_120min
331S,114.074017606207,22.3816579183323,22.3814552,114.072748,132.39704161825,TRUE,22.3814552,114.072748,132.39704161825,TRUE,FALSE,snapped_but_no_stable_p50_route_within_120min
411S,114.021047012392,22.388407440712,22.3879109,114.0204142,85.2840419211212,TRUE,22.3879109,114.0204142,85.2840419211212,TRUE,FALSE,snapped_but_no_stable_p50_route_within_120min
421S,113.943708216309,22.3747736676938,22.3741607,113.9438866,70.5444280579947,TRUE,22.3741607,113.9438866,70.5444280579947,TRUE,FALSE,snapped_but_no_stable_p50_route_within_120min
425,113.982562098875,22.3986722013916,22.3988488,113.9835238,100.743472502024,TRUE,22.3988488,113.9835238,100.743472502024,TRUE,FALSE,snapped_but_no_stable_p50_route_within_120min
431S,113.937306185895,22.4061544065309,22.4063956,113.9371585,30.8013666350578,TRUE,22.4063956,113.9371585,30.8013666350578,TRUE,FALSE,snapped_but_no_stable_p50_route_within_120min
441,113.994057425594,22.4191282664562,22.4184189,113.9940224,78.9160773324723,TRUE,22.4184189,113.9940224,78.9160773324723,TRUE,FALSE,snapped_but_no_stable_p50_route_within_120min
513,113.966445089438,22.4422037471051,22.4410045,113.9654016,171.02877727743,TRUE,22.4410045,113.9654016,171.02877727743,TRUE,FALSE,snapped_but_no_stable_p50_route_within_120min
516,114.020108383035,22.4707270832577,22.470172,114.0202992,64.7257259778892,TRUE,22.470172,114.0202992,64.7257259778892,TRUE,FALSE,snapped_but_no_stable_p50_route_within_120min
542,114.059487360616,22.4996467323703,22.5001649,114.0606487,132.415970262624,TRUE,22.5001649,114.0606487,132.415970262624,TRUE,FALSE,snapped_but_no_stable_p50_route_within_120min
642,114.163567062504,22.542795528706,22.5432142,114.1630874,67.740598807415,TRUE,22.5432142,114.1630874,67.740598807415,TRUE,FALSE,snapped_but_no_stable_p50_route_within_120min
651S,114.236266647213,22.5236674979737,22.5236829,114.2366619,40.6111151287988,TRUE,22.5236829,114.2366619,40.6111151287988,TRUE,FALSE,snapped_but_no_stable_p50_route_within_120min
