area_id,lon,lat,min_tt_6,gateways_60_6,hsr_runs_present,hsr_p50,hsr_run_sd,hsr_run_range,min_tt_7,gateways_60_7,stable_6,stable_7,hsr_is_nearest,time_reduction
175,114.169018077049,22.2505478633884,79.0,0.0,5.0,40.0,0.0,0.0,40.0,1.0,True,True,True,39.0
176,114.171860375487,22.2392602598493,,,,,,,,0.0,False,False,False,
181,114.143921859532,22.273471719629,102.0,0.0,5.0,65.0,0.44721359549995715,1.0,65.0,0.0,True,True,True,37.0
182,114.154372799933,22.2641102126192,103.0,0.0,5.0,61.0,0.8944271909999163,2.0,61.0,0.0,True,True,True,42.0
183,114.175817818997,22.2595744245821,,,,,,,,0.0,False,False,False,
184,114.17784255183,22.2651345102503,99.0,0.0,5.0,62.0,0.7071067811865476,2.0,62.0,0.0,True,True,True,37.0
190,114.19800215164,22.2665554434807,95.0,0.0,5.0,54.0,0.44721359549995765,1.0,54.0,1.0,True,True,True,41.0
191,114.185734310895,22.2476535351284,85.0,0.0,5.0,51.0,0.5477225575051652,1.0,51.0,1.0,True,True,True,34.0
192,114.197245839559,22.2375027450098,85.0,0.0,5.0,51.0,0.547722557505166,1.0,51.0,1.0,True,True,True,34.0
193,114.198861671966,22.2151670052828,102.0,0.0,5.0,67.0,0.0,0.0,67.0,0.0,True,True,True,35.0
194,114.210138996221,22.2439750933637,,,,,,,,0.0,False,False,False,
195,114.217128349735,22.215347118882,96.0,0.0,5.0,61.0,0.0,0.0,61.0,0.0,True,True,True,35.0
196,114.239502961351,22.2320021347761,,,5.0,81.0,0.8944271909999153,2.0,81.0,0.0,False,True,True,
197,114.247245222167,22.2332906577336,,,5.0,80.0,0.7071067811865476,2.0,80.0,0.0,False,True,True,
198,114.217118421069,22.1998333968201,,,5.0,85.0,0.8366600265340772,2.0,85.0,0.0,False,True,True,
211,114.169539827796,22.2996672661784,68.0,0.0,5.0,13.0,0.0,0.0,13.0,1.0,True,True,True,55.0
212,114.174524377325,22.3028057171379,65.0,0.0,5.0,15.0,0.0,0.0,15.0,1.0,True,True,True,50.0
213,114.186416794927,22.3031586203312,65.0,0.0,5.0,22.0,0.5477225575051664,1.0,22.0,1.0,True,True,True,43.0
214,114.173935482975,22.296702540858,60.0,1.0,5.0,14.0,0.0,0.0,14.0,2.0,True,True,True,46.0
215,114.179512338234,22.301352523342,59.0,1.0,5.0,18.0,0.44721359549995815,1.0,18.0,2.0,True,True,True,41.0
216,114.172619937707,22.2940475733047,66.0,0.0,5.0,14.0,0.0,0.0,14.0,1.0,True,True,True,52.0
217,114.184514979707,22.3013691581014,59.0,1.0,5.0,23.0,0.44721359549995815,1.0,23.0,2.0,True,True,True,36.0
220,114.171515939439,22.3146190721483,59.0,1.0,5.0,11.0,0.0,0.0,11.0,2.0,True,True,True,48.0
221,114.164313457129,22.322391689552,60.0,1.0,5.0,19.0,0.44721359549995765,1.0,19.0,2.0,True,True,True,41.0
222,114.170991211405,22.3235291560336,58.0,1.0,5.0,17.0,0.547722557505166,1.0,17.0,2.0,True,True,True,41.0
225,114.169132402039,22.3088273322026,65.0,0.0,5.0,11.0,0.0,0.0,11.0,1.0,True,True,True,54.0
226,114.175144029955,22.3100092150216,68.0,0.0,5.0,17.0,0.0,0.0,17.0,1.0,True,True,True,51.0
227,114.171782795569,22.3177091806686,60.0,1.0,5.0,15.0,0.0,0.0,15.0,2.0,True,True,True,45.0
228,114.168700527315,22.3138803973036,61.0,0.0,5.0,11.0,0.0,0.0,11.0,1.0,True,True,True,50.0
229,114.168103323904,22.3170402920214,59.0,1.0,5.0,13.0,0.0,0.0,13.0,2.0,True,True,True,46.0
231,114.178690350013,22.3263807863689,60.0,1.0,5.0,20.0,0.0,0.0,20.0,2.0,True,True,True,40.0
232,114.175607609535,22.322910134849,64.0,0.0,5.0,22.0,0.44721359549995765,1.0,22.0,1.0,True,True,True,42.0
233,114.181443452615,22.3246412830966,66.0,0.0,5.0,23.0,0.44721359549995787,1.0,23.0,1.0,True,True,True,43.0
234,114.180661809779,22.3204962723756,59.0,1.0,5.0,23.0,0.0,0.0,23.0,2.0,True,True,True,36.0
235,114.175852222888,22.3171339350946,67.0,0.0,5.0,20.0,0.0,0.0,20.0,1.0,True,True,True,47.0
236,114.180235511347,22.3124235216041,66.0,0.0,5.0,24.0,0.0,0.0,24.0,1.0,True,True,True,42.0
237,114.183157651063,22.3160170782153,62.0,0.0,5.0,26.0,0.0,0.0,26.0,1.0,True,True,True,36.0
241,114.187404382997,22.3185742441843,51.0,2.0,5.0,18.0,0.44721359549995765,1.0,18.0,3.0,True,True,True,33.0
242,114.190890170835,22.3190703775437,58.0,1.0,5.0,24.0,0.0,0.0,24.0,2.0,True,True,True,34.0
243,114.186472673494,22.3090662513405,61.0,0.0,5.0,19.0,0.44721359549995815,1.0,19.0,1.0,True,True,True,42.0
244,114.19018487593,22.3108350200547,60.0,1.0,5.0,21.0,0.547722557505166,1.0,21.0,2.0,True,True,True,39.0
245,114.189407816394,22.304928290024,62.0,0.0,5.0,21.0,0.5477225575051664,1.0,21.0,1.0,True,True,True,41.0
246,114.187099514432,22.3243808467592,60.0,1.0,5.0,23.0,0.44721359549995815,1.0,23.0,2.0,True,True,True,37.0
247,114.193336354043,22.3181276143584,60.0,1.0,5.0,25.0,0.0,0.0,25.0,2.0,True,True,True,35.0
251,114.16235018002,22.3044678481885,68.0,0.0,5.0,13.0,0.0,0.0,13.0,1.0,True,True,True,55.0
252,114.163767041862,22.3095214226775,72.0,0.0,5.0,12.0,0.0,0.0,12.0,1.0,True,True,True,60.0
253,114.163149297487,22.3152646493592,62.0,0.0,5.0,18.0,0.5477225575051664,1.0,18.0,1.0,True,True,True,44.0
254,114.157017057193,22.3206299669528,67.0,0.0,5.0,23.0,0.44721359549995765,1.0,23.0,1.0,True,True,True,44.0
255,114.151381227322,22.3300385580539,66.0,0.0,5.0,22.0,0.44721359549995815,1.0,22.0,1.0,True,True,True,44.0
256,114.15998726192,22.3013091963553,70.0,0.0,5.0,17.0,0.5477225575051664,1.0,17.0,1.0,True,True,True,53.0
260,114.139585004306,22.336582150316,61.0,0.0,5.0,22.0,0.5477225575051664,1.0,22.0,1.0,True,True,True,39.0
261,114.151123744312,22.3419502025781,75.0,0.0,5.0,34.0,0.0,0.0,34.0,1.0,True,True,True,41.0
262,114.159749183069,22.3410304871968,72.0,0.0,5.0,30.0,0.547722557505166,1.0,30.0,1.0,True,True,True,42.0
263,114.166308725222,22.34026870006,66.0,0.0,5.0,34.0,0.0,0.0,34.0,1.0,True,True,True,32.0
264,114.154380603738,22.3358767348364,65.0,0.0,5.0,20.0,0.44721359549995765,1.0,20.0,1.0,True,True,True,45.0
265,114.158015838104,22.3318483157708,63.0,0.0,5.0,18.0,0.0,0.0,18.0,1.0,True,True,True,45.0
266,114.160879511723,22.3289018654136,62.0,0.0,5.0,18.0,0.44721359549995765,1.0,18.0,1.0,True,True,True,44.0
267,114.165162716124,22.328350917857,59.0,1.0,5.0,13.0,0.0,0.0,13.0,2.0,True,True,True,46.0
268,114.171992517796,22.3343387866489,56.0,1.0,5.0,27.0,0.5477225575051664,1.0,27.0,2.0,True,True,True,29.0
269,114.141058836356,22.3229883471022,88.0,0.0,5.0,37.0,0.5477225575051667,1.0,37.0,1.0,True,True,True,51.0
271,114.178637102477,22.3374724585597,50.0,2.0,5.0,24.0,0.0,0.0,24.0,3.0,True,True,True,26.0
