stpug_id,origin_lon,origin_lat,median_hh_income_hkd,population_density_km2,minimum_time_minutes,nearest_bcp,gwr_income_beta,gwr_income_t,gwr_income_significant,nearest_bus_stop,nearest_bus_stop_distance_m,nearest_mtr_station,nearest_mtr_station_distance_m
634,114.166857981724,22.5037948532262,21610.0,1268.974020134326,44.0,LW,12.084675337972296,3.4514814727663596,True,QUEEN'S HILL,523.8363962989364,Fanling,3237.311012618906
757,114.237716463828,22.4169953575417,35400.0,25943.157529207856,71.0,LW,-20.661719858085632,-4.305207097545514,True,"[CTB] PARK BELVEDERE, MA ON SHAN ROAD|[KMB] PARK BELVEDERE|[LWB] PARK BELVEDERE",594.9267598449777,Ma On Shan,527.7332880434157
288S,114.21496593675,22.3449148561247,29130.0,15691.89185293111,89.0,LW,-6.859509381527911,-3.2029880578921275,True,"FUNG SHING STREET, OUTSIDE HILL TOP GARDENS",487.9992586182201,Choi Hung,1252.121860459658
