"from_id","to_id","travel_time_p25","travel_time_p50","travel_time_p75","run"
"835","LW",94,100,105,6
"835","LMC",100,106,112,6
"838","LW",75,76,77,6
"838","LMC",80,81,82,6
"838","HG",105,112,118,6
"838","MKT",95,96,97,6
"838","HYW",103,104,105,6
"971","SB",107,113,117,6
"284","LW",57,58,59,7
"284","LMC",62,63,64,7
"284","HG",92,95,98,7
"284","SB",96,98,100,7
"284","MKT",67,68,70,7
"284","HYW",76,78,79,7
"421","LW",83,88,93,7
"421","LMC",88,93,99,7
"421","HG",88,95,104,7
"421","SB",63,66,72,7
"421","MKT",85,89,95,7
"421","HYW",94,98,104,7
"622","LW",47,53,62,7
"622","LMC",52,58,67,7
"622","HG",68,75,86,7
"622","SB",102,108,,7
"622","MKT",51,57,64,7
"622","HYW",60,66,74,7
"627","LW",19,20,21,7
"627","LMC",24,25,26,7
"627","HG",38,42,47,7
"627","SB",76,78,81,7
"627","MKT",25,27,29,7
"627","HYW",34,37,39,7
"728","LW",42,43,45,7
"728","LMC",47,48,50,7
"728","MKT",53,54,57,7
"728","HYW",55,59,63,7
"835","LW",95,100,106,7
"835","LMC",101,107,112,7
"838","LW",75,76,77,7
"838","LMC",80,81,82,7
"838","HG",105,109,117,7
"838","MKT",94,96,97,7
"838","HYW",103,104,105,7
"971","SB",106,112,118,7
"284","LW",57,58,59,8
"284","LMC",62,63,64,8
"284","HG",91,94,97,8
"284","SB",96,98,99,8
"284","MKT",67,69,70,8
"284","HYW",76,78,79,8
"421","LW",83,87,92,8
"421","LMC",88,92,97,8
"421","HG",89,96,102,8
"421","SB",61,66,71,8
"421","MKT",85,88,94,8
"421","HYW",94,97,103,8
"622","LW",47,53,64,8
"622","LMC",52,58,69,8
"622","HG",68,76,87,8
"622","SB",103,109,,8
"622","MKT",50,56,66,8
"622","HYW",60,66,75,8
"627","LW",19,20,22,8
"627","LMC",24,25,27,8
"627","HG",39,44,48,8
"627","SB",76,78,81,8
"627","MKT",25,27,29,8
"627","HYW",35,37,39,8
"728","LW",42,43,44,8
"728","LMC",47,48,49,8
"728","MKT",53,54,56,8
"728","HYW",55,59,62,8
"835","LW",94,99,105,8
"835","LMC",99,104,111,8
"835","HG",119,,,8
"838","LW",75,76,77,8
"838","LMC",80,81,82,8
"838","HG",106,111,115,8
"838","MKT",94,96,97,8
"838","HYW",103,104,106,8
