model,term,beta,se,p,lower_95,upper_95
OLS (HC3),Income,4.249530986607344,0.9401051235917842,1.1417250860997e-05,2.4069249443674474,6.092137028847241
OLS (HC3),Population density,-0.4145286198354121,1.0800011513201107,0.7015814000846787,-2.531330876422829,1.7022736367520048
SEM Queen,Income,0.053212522010333885,0.8267180105436979,0.9486788110441818,-1.567154778655314,1.6735798226759817
SEM Queen,Population density,-3.977552623572409,0.8699609386892359,4.828492155485662e-06,-5.682676063403312,-2.2724291837415067
SEM KNN5,Income,0.025413249037302243,0.8044005171628889,0.9747968007800637,-1.5512117646019599,1.6020382626765644
SEM KNN5,Population density,-4.353390788749872,0.812854466117561,8.523386301268e-08,-5.946585542340291,-2.7601960351594523
